<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/bulgarian#cinexio'>cinexio</a>,<a href='https://euroeval.com/datasets/bulgarian#bg-ner-bsnlp'>bg_ner_bsnlp</a>,<a href='https://euroeval.com/datasets/bulgarian#scala-bg'>scala_bg</a>,<a href='https://euroeval.com/datasets/bulgarian#multi-wiki-qa-bg'>multi_wiki_qa_bg</a>,<a href='https://euroeval.com/datasets/bulgarian#exams-bg'>exams_bg</a>,<a href='https://euroeval.com/datasets/bulgarian#winogrande-bg'>winogrande_bg</a>,cinexio_version,bg_ner_bsnlp_version,scala_bg_version,multi_wiki_qa_bg_version,exams_bg_version,winogrande_bg_version
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.11@@1.11,?,100256.0,272000,✓,✗,52.85 ± 2.73 / 57.56 ± 2.14@@52.85,91.85 ± 0.61 / 84.03 ± 0.94@@91.85,67.30 ± 2.31 / 83.50 ± 1.13@@67.30,67.73 ± 0.97 / 35.80 ± 1.23@@67.73,78.29 ± 4.07 / 83.30 ± 3.25@@78.29,75.09 ± 3.03 / 87.58 ± 1.67@@75.09,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.14@@1.14,?,?,200000,✓,✗,53.45 ± 2.29 / 59.53 ± 1.23@@53.45,92.14 ± 0.69 / 88.86 ± 0.52@@92.14,67.95 ± 3.15 / 83.58 ± 1.62@@67.95,69.01 ± 0.88 / 35.73 ± 1.29@@69.01,69.57 ± 4.27 / 76.91 ± 3.41@@69.57,79.86 ± 4.52 / 90.39 ± 2.18@@79.86,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.17@@1.17,?,256128.0,1048576,✓,✗,55.28 ± 2.26 / 60.40 ± 1.39@@55.28,89.73 ± 0.83 / 81.13 ± 1.01@@89.73,76.70 ± 2.34 / 87.86 ± 1.31@@76.70,67.68 ± 1.33 / 38.98 ± 1.40@@67.68,76.32 ± 4.25 / 81.81 ± 3.37@@76.32,60.50 ± 4.35 / 81.41 ± 2.09@@60.50,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.17@@1.17,?,256128.0,1048576,✓,✗,51.76 ± 2.11 / 58.00 ± 1.38@@51.76,87.16 ± 0.98 / 76.36 ± 0.83@@87.16,72.75 ± 2.27 / 86.01 ± 1.26@@72.75,65.79 ± 1.41 / 28.65 ± 1.66@@65.79,76.88 ± 4.36 / 82.23 ± 3.48@@76.88,70.35 ± 3.64 / 86.02 ± 1.67@@70.35,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.26@@1.26,?,100256.0,272000,✓,✗,52.59 ± 2.05 / 59.19 ± 1.29@@52.59,82.40 ± 1.19 / 68.93 ± 1.29@@82.40,68.28 ± 2.58 / 83.76 ± 1.33@@68.28,70.08 ± 0.98 / 39.74 ± 1.17@@70.08,69.51 ± 3.94 / 76.91 ± 3.09@@69.51,73.26 ± 2.57 / 87.42 ± 1.15@@73.26,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.29@@1.29,?,?,1047576,✓,✗,56.99 ± 1.79 / 63.99 ± 1.26@@56.99,82.32 ± 0.75 / 72.09 ± 0.69@@82.32,73.45 ± 2.56 / 85.89 ± 1.39@@73.45,67.27 ± 1.07 / 33.02 ± 1.24@@67.27,71.39 ± 3.97 / 78.09 ± 3.10@@71.39,54.51 ± 5.37 / 77.73 ± 2.40@@54.51,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.31@@1.31,?,256128.0,1048576,✓,✗,55.28 ± 2.55 / 62.28 ± 1.65@@55.28,85.97 ± 0.67 / 76.28 ± 0.89@@85.97,75.58 ± 2.84 / 87.44 ± 1.47@@75.58,66.24 ± 1.81 / 34.40 ± 1.70@@66.24,75.00 ± 4.04 / 80.85 ± 3.23@@75.00,45.04 ± 5.92 / 74.22 ± 2.92@@45.04,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.38@@1.38,?,?,200000,✓,✗,56.60 ± 2.24 / 63.52 ± 1.29@@56.60,86.56 ± 1.16 / 83.94 ± 0.98@@86.56,42.05 ± 2.50 / 63.54 ± 1.36@@42.05,71.69 ± 1.21 / 40.80 ± 0.94@@71.69,69.63 ± 3.68 / 76.81 ± 2.83@@69.63,67.42 ± 4.43 / 82.19 ± 2.45@@67.42,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.47@@1.47,?,100256.0,272000,✓,✗,52.98 ± 2.29 / 58.73 ± 1.65@@52.98,90.26 ± 0.62 / 83.45 ± 0.69@@90.26,62.33 ± 2.69 / 80.51 ± 1.33@@62.33,69.30 ± 1.21 / 38.16 ± 0.91@@69.30,62.68 ± 4.64 / 72.02 ± 3.50@@62.68,41.02 ± 5.11 / 72.03 ± 2.34@@41.02,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
