<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/bulgarian#cinexio'>cinexio</a>,<a href='https://euroeval.com/datasets/bulgarian#bg-ner-bsnlp'>bg_ner_bsnlp</a>,<a href='https://euroeval.com/datasets/bulgarian#scala-bg'>scala_bg</a>,<a href='https://euroeval.com/datasets/bulgarian#multi-wiki-qa-bg'>multi_wiki_qa_bg</a>,cinexio_version,bg_ner_bsnlp_version,scala_bg_version,multi_wiki_qa_bg_version
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.30@@1.30,?,?,400000.0,✓,✗,52.30 ± 1.42 / 58.14 ± 0.97@@52.30,92.54 ± 0.45 / 83.85 ± 0.60@@92.54,77.40 ± 0.88 / 88.64 ± 0.44@@77.40,70.53 ± 0.49 / 37.26 ± 0.64@@70.53,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.32@@1.32,?,256128.0,1048576.0,✓,✗,55.28 ± 2.26 / 60.40 ± 1.39@@55.28,89.73 ± 0.83 / 81.13 ± 1.01@@89.73,76.70 ± 2.34 / 87.86 ± 1.31@@76.70,67.68 ± 1.33 / 38.98 ± 1.40@@67.68,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.35@@1.35,?,256128.0,1048576.0,✓,✗,52.56 ± 2.56 / 58.71 ± 1.27@@52.56,86.25 ± 0.78 / 77.10 ± 0.73@@86.25,83.73 ± 2.64 / 91.50 ± 1.42@@83.73,68.53 ± 0.82 / 34.63 ± 0.77@@68.53,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.36@@1.36,?,256128.0,1048576.0,✓,✗,53.70 ± 2.15 / 60.72 ± 1.14@@53.70,91.74 ± 0.59 / 77.93 ± 1.07@@91.74,79.40 ± 3.06 / 89.45 ± 1.62@@79.40,65.64 ± 1.16 / 28.16 ± 1.22@@65.64,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.36@@1.36,?,256128.0,1048576.0,✓,✗,55.23 ± 1.89 / 61.67 ± 1.19@@55.23,90.84 ± 0.87 / 77.30 ± 1.05@@90.84,74.59 ± 2.06 / 86.24 ± 1.31@@74.59,65.83 ± 1.15 / 28.58 ± 1.22@@65.83,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4'>openai/gpt-5.4-2026-03-05#none (zero-shot, val)</a>",🤔,1.36@@1.36,?,?,1050000.0,✓,✗,55.96 ± 1.09 / 64.56 ± 0.56@@55.96,84.07 ± 0.52 / 74.49 ± 0.30@@84.07,72.53 ± 1.49 / 86.15 ± 0.72@@72.53,73.38 ± 0.59 / 43.21 ± 0.59@@73.38,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.36@@1.36,?,?,400000.0,✓,✗,52.93 ± 1.17 / 59.17 ± 0.86@@52.93,90.24 ± 0.34 / 84.07 ± 0.44@@90.24,75.57 ± 1.28 / 87.68 ± 0.63@@75.57,70.47 ± 0.44 / 39.69 ± 0.65@@70.47,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.37@@1.37,?,256128.0,1048576.0,✓,✗,53.31 ± 1.21 / 61.10 ± 0.67@@53.31,87.68 ± 0.49 / 75.29 ± 0.59@@87.68,83.09 ± 1.01 / 90.96 ± 0.58@@83.09,65.59 ± 0.51 / 28.09 ± 0.54@@65.59,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.39@@1.39,?,?,?,✓,✗,56.92 ± 2.18 / 64.31 ± 1.37@@56.92,78.94 ± 1.20 / 69.08 ± 1.05@@78.94,77.04 ± 2.98 / 88.22 ± 1.61@@77.04,70.33 ± 0.70 / 37.60 ± 0.66@@70.33,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
