<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,<a href='https://euroeval.com/datasets/catalan#dacsa-ca'>dacsa_ca</a>,<a href='https://euroeval.com/datasets/catalan#mmlu-ca'>mmlu_ca</a>,<a href='https://euroeval.com/datasets/catalan#winogrande-ca'>winogrande_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version,dacsa_ca_version,mmlu_ca_version,winogrande_ca_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,?,✓,✗,67.27 ± 3.85 / 61.99 ± 3.14@@67.27,67.67 ± 1.86 / 67.67 ± 1.86@@67.67,71.60 ± 2.74 / 85.57 ± 1.38@@71.60,66.29 ± 1.41 / 37.69 ± 1.87@@66.29,64.83 ± 0.08 / 12.75 ± 0.19@@64.83,86.28 ± 1.53 / 89.69 ± 1.16@@86.28,77.76 ± 4.71 / 89.22 ± 2.47@@77.76,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.54@@1.54,?,?,200000.0,✓,✗,63.29 ± 3.65 / 57.66 ± 2.10@@63.29,71.77 ± 1.77 / 71.77 ± 1.77@@71.77,52.35 ± 3.41 / 72.75 ± 1.96@@52.35,69.50 ± 1.57 / 41.93 ± 1.86@@69.50,64.72 ± 0.12 / 13.04 ± 0.21@@64.72,80.60 ± 2.56 / 85.39 ± 1.93@@80.60,77.83 ± 3.36 / 89.22 ± 1.78@@77.83,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.59@@1.59,?,256128.0,1048576.0,✓,✗,68.69 ± 3.30 / 57.94 ± 2.10@@68.69,64.12 ± 1.67 / 64.12 ± 1.67@@64.12,61.38 ± 4.37 / 80.04 ± 2.35@@61.38,62.94 ± 1.01 / 26.72 ± 0.95@@62.94,64.80 ± 0.10 / 12.81 ± 0.16@@64.80,80.95 ± 1.77 / 85.70 ± 1.33@@80.95,66.44 ± 4.23 / 83.98 ± 2.20@@66.44,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.61@@1.61,?,100256.0,272000.0,✓,✗,71.46 ± 3.42 / 57.13 ± 1.88@@71.46,62.19 ± 1.60 / 62.19 ± 1.60@@62.19,44.80 ± 1.97 / 64.91 ± 1.46@@44.80,65.98 ± 1.23 / 39.18 ± 1.69@@65.98,64.64 ± 0.13 / 12.89 ± 0.23@@64.64,84.93 ± 1.89 / 88.71 ± 1.40@@84.93,77.01 ± 3.51 / 89.30 ± 1.77@@77.01,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.62@@1.62,?,256128.0,1048576.0,✓,✗,68.55 ± 3.53 / 56.26 ± 1.91@@68.55,57.73 ± 1.71 / 57.73 ± 1.71@@57.73,63.33 ± 3.43 / 81.42 ± 1.81@@63.33,68.26 ± 1.55 / 43.36 ± 2.30@@68.26,64.91 ± 0.12 / 12.05 ± 0.20@@64.91,79.92 ± 2.17 / 84.92 ± 1.62@@79.92,70.94 ± 4.48 / 86.48 ± 2.19@@70.94,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.64@@1.64,32762123264.0,151936.0,40960.0,✓,✗,58.42 ± 1.98 / 62.07 ± 1.06@@58.42,68.84 ± 3.00 / 68.84 ± 3.00@@68.84,63.84 ± 2.32 / 81.75 ± 1.26@@63.84,75.72 ± 0.68 / 49.87 ± 1.50@@75.72,67.06 ± 0.07 / 18.47 ± 0.17@@67.06,68.67 ± 0.87 / 76.48 ± 0.66@@68.67,44.68 ± 2.07 / 72.21 ± 1.04@@44.68,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.73@@1.73,?,?,200000.0,✓,✗,68.14 ± 3.47 / 57.92 ± 2.08@@68.14,64.14 ± 1.88 / 64.14 ± 1.88@@64.14,45.13 ± 3.21 / 66.97 ± 2.44@@45.13,70.49 ± 1.44 / 44.41 ± 1.76@@70.49,64.33 ± 0.10 / 14.33 ± 0.18@@64.33,78.12 ± 2.72 / 83.40 ± 2.11@@78.12,65.98 ± 2.33 / 79.61 ± 1.65@@65.98,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.73@@1.73,?,?,1047576.0,✓,✗,72.36 ± 3.53 / 57.16 ± 1.89@@72.36,62.06 ± 1.71 / 62.06 ± 1.71@@62.06,62.88 ± 2.56 / 81.21 ± 1.24@@62.88,65.79 ± 1.37 / 38.18 ± 2.26@@65.79,65.26 ± 0.10 / 13.91 ± 0.21@@65.26,69.55 ± 1.77 / 77.03 ± 1.36@@69.55,49.61 ± 5.48 / 75.39 ± 2.79@@49.61,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.74@@1.74,?,100256.0,272000.0,✓,✗,73.82 ± 4.17 / 57.22 ± 1.91@@73.82,63.07 ± 1.55 / 63.07 ± 1.55@@63.07,36.09 ± 2.61 / 55.58 ± 2.02@@36.09,68.96 ± 1.17 / 43.92 ± 2.13@@68.96,64.75 ± 0.13 / 12.09 ± 0.20@@64.75,80.59 ± 2.18 / 85.43 ± 1.63@@80.59,61.19 ± 4.51 / 81.33 ± 2.30@@61.19,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
