<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/danish#angry-tweets'>angry_tweets</a>,<a href='https://euroeval.com/datasets/danish#dansk'>dansk</a>,<a href='https://euroeval.com/datasets/danish#scala-da'>scala_da</a>,<a href='https://euroeval.com/datasets/danish#multi-wiki-qa-da'>multi_wiki_qa_da</a>,<a href='https://euroeval.com/datasets/danish#nordjylland-news'>nordjylland_news</a>,<a href='https://euroeval.com/datasets/danish#danske-talemaader'>danske_talemaader</a>,<a href='https://euroeval.com/datasets/danish#danish-citizen-tests'>danish_citizen_tests</a>,<a href='https://euroeval.com/datasets/danish#hellaswag-da'>hellaswag_da</a>,angry_tweets_version,dansk_version,scala_da_version,multi_wiki_qa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.22@@1.22,?,?,?,?,✓,✗,64.26 ± 1.81 / 75.16 ± 1.08@@64.26,69.94 ± 1.67 / 63.25 ± 1.80@@69.94,67.78 ± 2.78 / 82.79 ± 1.39@@67.78,74.70 ± 1.07 / 57.53 ± 1.19@@74.70,64.55 ± 0.19 / 14.19 ± 0.33@@64.55,85.38 ± 1.60 / 89.38 ± 1.19@@85.38,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,90.10 ± 1.00 / 92.58 ± 0.76@@90.10,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.23@@1.23,1.77,?,256128.0,1048576.0,✓,✗,60.17 ± 1.40 / 72.92 ± 1.18@@60.17,68.07 ± 1.61 / 59.04 ± 1.58@@68.07,77.98 ± 2.36 / 88.96 ± 1.18@@77.98,75.54 ± 1.15 / 53.26 ± 1.22@@75.54,64.81 ± 0.22 / 14.23 ± 0.38@@64.81,89.63 ± 2.05 / 92.34 ± 1.61@@89.63,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,84.75 ± 1.08 / 88.52 ± 0.85@@84.75,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.25@@1.25,66.61,?,256128.0,1048576.0,✓,✗,61.73 ± 1.69 / 73.05 ± 1.26@@61.73,70.88 ± 1.77 / 60.42 ± 1.71@@70.88,71.54 ± 3.08 / 85.50 ± 1.60@@71.54,72.49 ± 0.92 / 48.04 ± 1.22@@72.49,64.19 ± 0.33 / 14.19 ± 0.46@@64.19,98.50 ± 1.10 / 98.91 ± 0.80@@98.50,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,81.90 ± 1.41 / 86.37 ± 1.08@@81.90,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.27@@1.27,?,?,100256.0,272000.0,✓,✗,58.79 ± 1.91 / 71.19 ± 1.33@@58.79,70.37 ± 1.88 / 57.09 ± 2.00@@70.37,71.73 ± 3.68 / 85.17 ± 1.96@@71.73,76.00 ± 1.59 / 58.16 ± 1.78@@76.00,64.89 ± 0.13 / 14.45 ± 0.34@@64.89,89.75 ± 1.26 / 92.50 ± 0.89@@89.75,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,80.36 ± 1.67 / 85.20 ± 1.27@@80.36,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.28@@1.28,?,?,256128.0,1048576.0,✓,✗,58.72 ± 1.90 / 71.02 ± 1.51@@58.72,67.08 ± 1.56 / 49.48 ± 1.86@@67.08,73.75 ± 2.72 / 86.64 ± 1.43@@73.75,73.37 ± 0.80 / 48.60 ± 1.21@@73.37,64.82 ± 0.23 / 14.70 ± 0.39@@64.82,95.08 ± 1.52 / 96.41 ± 1.12@@95.08,98.84 ± 0.84 / 99.22 ± 0.57@@98.84,81.88 ± 1.84 / 86.33 ± 1.41@@81.88,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.29@@1.29,10.93,?,?,200000.0,✓,✗,62.64 ± 2.10 / 75.21 ± 1.45@@62.64,65.30 ± 1.95 / 58.76 ± 2.17@@65.30,64.18 ± 1.67 / 79.65 ± 1.01@@64.18,76.29 ± 0.99 / 57.08 ± 1.41@@76.29,64.27 ± 0.13 / 14.47 ± 0.25@@64.27,85.38 ± 1.60 / 89.38 ± 1.19@@85.38,96.38 ± 0.62 / 97.56 ± 0.44@@96.38,90.41 ± 0.67 / 92.77 ± 0.53@@90.41,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.36@@1.36,90.83,?,?,400000.0,✓,✗,58.52 ± 1.14 / 72.35 ± 0.70@@58.52,67.72 ± 1.53 / 48.22 ± 1.58@@67.72,71.48 ± 3.01 / 85.01 ± 1.60@@71.48,74.42 ± 1.10 / 47.65 ± 1.58@@74.42,64.71 ± 0.17 / 13.70 ± 0.29@@64.71,87.77 ± 3.36 / 91.09 ± 2.42@@87.77,98.83 ± 0.85 / 99.22 ± 0.57@@98.83,71.22 ± 2.03 / 78.36 ± 1.56@@71.22,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.37@@1.37,?,70553706496.0,128256.0,131072.0,✓,✗,58.56 ± 1.36 / 72.37 ± 0.91@@58.56,67.99 ± 1.45 / 49.48 ± 2.20@@67.99,58.23 ± 2.10 / 77.62 ± 1.60@@58.23,77.84 ± 1.06 / 54.58 ± 1.56@@77.84,66.40 ± 0.20 / 18.67 ± 0.49@@66.40,82.20 ± 1.45 / 86.58 ± 1.11@@82.20,92.05 ± 1.01 / 94.70 ± 0.67@@92.05,78.90 ± 0.54 / 84.05 ± 0.41@@78.90,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,16.3.0.dev0@@160300,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.39@@1.39,?,235107904512.0,151936.0,262144.0,✓,✗,55.89 ± 1.49 / 70.82 ± 0.97@@55.89,62.27 ± 1.58 / 36.99 ± 2.08@@62.27,66.23 ± 1.00 / 82.92 ± 0.54@@66.23,76.08 ± 1.29 / 55.47 ± 1.53@@76.08,64.75 ± 0.14 / 14.32 ± 0.30@@64.75,88.72 ± 0.70 / 91.55 ± 0.53@@88.72,94.06 ± 0.83 / 96.04 ± 0.56@@94.06,85.00 ± 0.37 / 88.74 ± 0.28@@85.00,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
