<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/danish#angry-tweets'>angry_tweets</a>,<a href='https://euroeval.com/datasets/danish#dansk'>dansk</a>,<a href='https://euroeval.com/datasets/danish#scala-da'>scala_da</a>,<a href='https://euroeval.com/datasets/danish#multi-wiki-qa-da'>multi_wiki_qa_da</a>,angry_tweets_version,dansk_version,scala_da_version,multi_wiki_qa_da_version
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.13@@1.13,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,63.59 ± 0.91 / 75.27 ± 0.64@@63.59,71.39 ± 0.77 / 67.18 ± 1.01@@71.39,68.90 ± 1.88 / 84.24 ± 0.92@@68.90,76.83 ± 0.62 / 54.05 ± 0.65@@76.83,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.16@@1.16,?,256128.0,1048576.0,✓,✗,✗,✓,60.17 ± 1.40 / 72.92 ± 1.18@@60.17,68.07 ± 1.61 / 59.04 ± 1.58@@68.07,77.98 ± 2.36 / 88.96 ± 1.18@@77.98,75.54 ± 1.15 / 53.26 ± 1.22@@75.54,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.17@@1.17,?,256128.0,1048576.0,✓,✗,✗,✓,61.73 ± 1.69 / 73.05 ± 1.26@@61.73,70.88 ± 1.77 / 60.42 ± 1.71@@70.88,71.54 ± 3.08 / 85.50 ± 1.60@@71.54,72.49 ± 0.92 / 48.04 ± 1.22@@72.49,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.18@@1.18,?,100256.0,272000.0,✓,✗,✗,✓,58.79 ± 1.91 / 71.19 ± 1.33@@58.79,70.37 ± 1.88 / 57.09 ± 2.00@@70.37,71.73 ± 3.68 / 85.17 ± 1.96@@71.73,76.00 ± 1.59 / 58.16 ± 1.78@@76.00,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.18@@1.18,?,256128.0,1048576.0,✓,✗,✗,✓,58.12 ± 0.89 / 71.58 ± 0.60@@58.12,69.38 ± 0.95 / 50.73 ± 0.97@@69.38,77.63 ± 1.18 / 88.76 ± 0.60@@77.63,75.06 ± 0.61 / 50.31 ± 0.73@@75.06,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.21@@1.21,?,?,?,✓,✗,✗,✓,64.26 ± 1.81 / 75.16 ± 1.08@@64.26,69.94 ± 1.67 / 63.25 ± 1.80@@69.94,67.78 ± 2.78 / 82.79 ± 1.39@@67.78,74.70 ± 1.07 / 57.53 ± 1.19@@74.70,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.24@@1.24,?,?,400000.0,✓,✗,✗,✓,55.11 ± 0.95 / 67.83 ± 0.65@@55.11,71.15 ± 0.60 / 60.26 ± 0.77@@71.15,71.31 ± 1.09 / 84.53 ± 0.62@@71.31,75.74 ± 0.59 / 58.01 ± 0.71@@75.74,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.25@@1.25,?,?,400000.0,✓,✗,✗,✓,58.52 ± 1.14 / 72.35 ± 0.70@@58.52,67.72 ± 1.53 / 48.22 ± 1.58@@67.72,71.48 ± 3.01 / 85.01 ± 1.60@@71.48,74.42 ± 1.10 / 47.65 ± 1.58@@74.42,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/zai-org/GLM-4.7-FP8'>zai-org/GLM-4.7-FP8 (val)</a>,🤔,1.25@@1.25,358458391872.0,151552.0,202752.0,✓,✗,✗,✓,61.64 ± 1.38 / 74.09 ± 1.08@@61.64,70.24 ± 1.76 / 65.43 ± 2.96@@70.24,65.26 ± 3.72 / 80.88 ± 2.01@@65.26,77.31 ± 1.00 / 59.71 ± 1.48@@77.31,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
