<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<a id=16 href='https://euroeval.com/tasks/simplification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Simplification</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
Model,Type,Rank,European Values,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/dutch#dbrd'>dbrd</a>,<a href='https://euroeval.com/datasets/dutch#conll-nl'>conll_nl</a>,<a href='https://euroeval.com/datasets/dutch#scala-nl'>scala_nl</a>,<a href='https://euroeval.com/datasets/dutch#squad-nl'>squad_nl</a>,<a href='https://euroeval.com/datasets/dutch#wiki-lingua-nl'>wiki_lingua_nl</a>,<a href='https://euroeval.com/datasets/dutch#mmlu-nl'>mmlu_nl</a>,<a href='https://euroeval.com/datasets/dutch#hellaswag-nl'>hellaswag_nl</a>,<a href='https://euroeval.com/datasets/dutch#duidelijke-taal'>duidelijke_taal</a>,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,duidelijke_taal_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.37@@1.37,?,?,?,?,✓,✗,93.44 ± 1.25 / 96.70 ± 0.64@@93.44,77.39 ± 2.81 / 73.04 ± 2.26@@77.39,70.03 ± 2.67 / 84.42 ± 1.36@@70.03,77.15 ± 0.89 / 52.18 ± 1.40@@77.15,64.20 ± 0.10 / 13.63 ± 0.17@@64.20,83.96 ± 1.94 / 87.97 ± 1.46@@83.96,93.04 ± 0.75 / 94.77 ± 0.56@@93.04,49.72 ± 1.34 / 61.98 ± 4.76@@49.72,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.41@@1.41,?,235107904512.0,151936.0,262144.0,✓,✗,93.01 ± 0.41 / 96.47 ± 0.22@@93.01,68.44 ± 0.98 / 42.28 ± 2.70@@68.44,68.50 ± 0.85 / 84.10 ± 0.50@@68.50,75.51 ± 0.67 / 56.62 ± 0.80@@75.51,66.40 ± 0.25 / 16.27 ± 0.37@@66.40,78.41 ± 0.56 / 83.80 ± 0.43@@78.41,84.68 ± 0.44 / 88.50 ± 0.33@@84.68,57.52 ± 0.62 / 70.84 ± 0.97@@57.52,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.42@@1.42,?,?,?,?,✓,✗,93.73 ± 1.15 / 96.83 ± 0.58@@93.73,74.97 ± 2.69 / 73.24 ± 1.62@@74.97,60.14 ± 2.82 / 76.84 ± 2.18@@60.14,77.52 ± 0.88 / 50.13 ± 1.16@@77.52,64.15 ± 0.10 / 14.33 ± 0.20@@64.15,75.68 ± 2.09 / 81.64 ± 1.59@@75.68,93.05 ± 1.02 / 94.80 ± 0.77@@93.05,53.93 ± 1.64 / 63.67 ± 4.87@@53.93,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.43@@1.43,?,235107904512.0,151936.0,262144.0,✓,✗,91.43 ± 0.60 / 95.66 ± 0.31@@91.43,79.80 ± 2.02 / 60.33 ± 3.22@@79.80,50.34 ± 1.25 / 69.30 ± 0.90@@50.34,78.29 ± 0.54 / 62.12 ± 0.74@@78.29,66.83 ± 0.59 / 16.80 ± 0.75@@66.83,85.75 ± 0.73 / 89.31 ± 0.55@@85.75,80.77 ± 1.04 / 85.56 ± 0.78@@80.77,55.21 ± 0.79 / 70.41 ± 0.87@@55.21,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.43@@1.43,?,405868625920.0,128256.0,131072.0,✓,✗,91.09 ± 0.68 / 95.43 ± 0.38@@91.09,63.96 ± 3.72 / 61.25 ± 3.69@@63.96,69.11 ± 0.94 / 84.22 ± 0.53@@69.11,77.40 ± 0.69 / 58.03 ± 1.30@@77.40,67.62 ± 1.18 / 24.61 ± 1.67@@67.62,75.13 ± 1.10 / 81.32 ± 0.82@@75.13,80.03 ± 0.58 / 84.95 ± 0.44@@80.03,56.60 ± 1.23 / 70.80 ± 0.94@@56.60,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.44@@1.44,10.59,?,256128.0,1048576.0,✓,✗,94.09 ± 1.15 / 96.98 ± 0.59@@94.09,74.40 ± 3.02 / 55.09 ± 2.60@@74.40,75.69 ± 2.29 / 87.72 ± 1.16@@75.69,73.59 ± 0.79 / 42.70 ± 1.42@@73.59,64.02 ± 0.08 / 13.43 ± 0.18@@64.02,86.27 ± 1.41 / 89.69 ± 1.04@@86.27,85.36 ± 1.52 / 89.06 ± 1.14@@85.36,46.05 ± 1.73 / 60.19 ± 5.17@@46.05,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.50@@1.50,?,24011361280.0,131072.0,?,✓,✗,91.89 ± 1.05 / 95.89 ± 0.56@@91.89,74.10 ± 1.62 / 66.14 ± 2.73@@74.10,53.54 ± 2.72 / 74.18 ± 2.56@@53.54,81.17 ± 0.89 / 63.54 ± 1.05@@81.17,69.50 ± 0.98 / 23.38 ± 1.26@@69.50,63.90 ± 0.85 / 72.84 ± 0.64@@63.90,80.14 ± 1.07 / 85.07 ± 0.80@@80.14,54.18 ± 1.01 / 69.96 ± 1.02@@54.18,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.50@@1.50,?,70553706496.0,128256.0,131072.0,✓,✗,91.09 ± 0.81 / 95.45 ± 0.44@@91.09,69.95 ± 1.27 / 56.20 ± 2.70@@69.95,63.56 ± 1.34 / 81.61 ± 0.68@@63.56,75.61 ± 0.68 / 53.36 ± 1.13@@75.61,65.96 ± 0.13 / 17.13 ± 0.25@@65.96,74.88 ± 0.65 / 81.11 ± 0.49@@74.88,80.14 ± 0.64 / 84.97 ± 0.50@@80.14,55.70 ± 1.31 / 62.26 ± 2.90@@55.70,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.54@@1.54,95.18,?,?,1047576.0,✓,✗,94.02 ± 1.04 / 96.98 ± 0.53@@94.02,65.53 ± 2.23 / 37.72 ± 2.39@@65.53,66.63 ± 1.69 / 83.07 ± 0.85@@66.63,72.30 ± 1.02 / 39.05 ± 1.45@@72.30,65.65 ± 0.09 / 14.67 ± 0.17@@65.65,73.88 ± 1.39 / 80.47 ± 1.06@@73.88,78.25 ± 2.39 / 83.63 ± 1.82@@78.25,54.68 ± 2.30 / 64.92 ± 5.22@@54.68,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
