<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/english#sst5'>sst5</a>,<a href='https://euroeval.com/datasets/english#conll-en'>conll_en</a>,<a href='https://euroeval.com/datasets/english#scala-en'>scala_en</a>,<a href='https://euroeval.com/datasets/english#squad'>squad</a>,sst5_version,conll_en_version,scala_en_version,squad_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.23@@1.23,?,256128.0,1048576.0,✓,✗,✗,✓,69.12 ± 1.83 / 70.52 ± 1.64@@69.12,92.30 ± 0.61 / 89.28 ± 0.65@@92.30,69.31 ± 1.81 / 84.38 ± 0.94@@69.31,83.17 ± 0.62 / 62.71 ± 1.61@@83.17,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.25@@1.25,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,68.88 ± 1.26 / 71.90 ± 1.10@@68.88,88.53 ± 0.59 / 88.01 ± 0.75@@88.53,67.13 ± 1.41 / 82.92 ± 0.80@@67.13,84.34 ± 0.48 / 64.23 ± 0.84@@84.34,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.26@@1.26,?,256128.0,1048576.0,✓,✗,✗,✓,70.27 ± 1.79 / 69.61 ± 1.45@@70.27,89.20 ± 0.68 / 79.44 ± 1.13@@89.20,68.65 ± 2.57 / 83.57 ± 1.31@@68.65,82.33 ± 0.69 / 58.09 ± 1.35@@82.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.27@@1.27,?,256128.0,1048576.0,✓,✗,✗,✓,69.20 ± 1.21 / 72.08 ± 1.00@@69.20,83.70 ± 0.55 / 76.84 ± 0.65@@83.70,71.39 ± 1.78 / 85.61 ± 0.91@@71.39,82.88 ± 0.35 / 60.11 ± 0.56@@82.88,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.29@@1.29,?,?,400000.0,✓,✗,✗,✓,69.49 ± 0.94 / 72.82 ± 0.69@@69.49,85.19 ± 0.71 / 70.62 ± 0.94@@85.19,68.07 ± 0.90 / 83.39 ± 0.50@@68.07,83.88 ± 0.30 / 67.32 ± 0.53@@83.88,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.29@@1.29,?,?,?,✓,✗,✗,✓,71.56 ± 1.02 / 72.70 ± 0.78@@71.56,80.40 ± 0.63 / 80.92 ± 0.69@@80.40,76.44 ± 1.38 / 88.17 ± 0.69@@76.44,80.07 ± 0.36 / 58.13 ± 0.75@@80.07,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.31@@1.31,?,256128.0,1048576.0,✓,✗,✗,✓,67.37 ± 1.99 / 68.19 ± 1.29@@67.37,86.89 ± 1.29 / 84.43 ± 1.02@@86.89,67.31 ± 2.18 / 83.53 ± 1.09@@67.31,82.55 ± 0.70 / 64.36 ± 1.55@@82.55,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/microsoft/deberta-v3-large'>microsoft/deberta-v3-large</a>,🔍,1.31@@1.31,435064835.0,128100.0,512.0,✓,✗,(✓),✓,63.33 ± 1.45 / 62.94 ± 3.00@@63.33,90.38 ± 0.57 / 90.05 ± 0.77@@90.38,73.39 ± 1.61 / 86.49 ± 0.83@@73.39,80.21 ± 0.73 / 67.69 ± 0.80@@80.21,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.33@@1.33,?,?,131072.0,✓,✗,✗,✓,68.05 ± 1.18 / 69.50 ± 0.96@@68.05,84.82 ± 0.63 / 77.14 ± 1.04@@84.82,68.02 ± 1.33 / 82.58 ± 0.77@@68.02,82.79 ± 0.30 / 67.50 ± 0.49@@82.79,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
