<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/estonian#estonian-valence'>estonian_valence</a>,<a href='https://euroeval.com/datasets/estonian#estner'>estner</a>,<a href='https://euroeval.com/datasets/estonian#grammar-et'>grammar_et</a>,<a href='https://euroeval.com/datasets/estonian#multi-wiki-qa-et'>multi_wiki_qa_et</a>,<a href='https://euroeval.com/datasets/estonian#err-news'>err_news</a>,<a href='https://euroeval.com/datasets/estonian#trivia-et'>trivia_et</a>,<a href='https://euroeval.com/datasets/estonian#winogrande-et'>winogrande_et</a>,estonian_valence_version,estner_version,grammar_et_version,multi_wiki_qa_et_version,err_news_version,trivia_et_version,winogrande_et_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.29@@1.29,0.98,?,256128.0,1048576.0,✓,✗,✗,✓,66.82 ± 2.09 / 74.17 ± 1.77@@66.82,55.72 ± 3.78 / 52.06 ± 3.24@@55.72,64.83 ± 2.15 / 82.06 ± 1.03@@64.83,62.95 ± 1.67 / 32.44 ± 2.14@@62.95,29.37 ± 0.39 / 33.99 ± 0.42@@29.37,51.38 ± 5.95 / 63.50 ± 4.76@@51.38,85.37 ± 2.58 / 92.54 ± 1.31@@85.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.30@@1.30,?,?,256128.0,1048576.0,✓,✗,✗,✓,63.19 ± 1.98 / 71.62 ± 1.44@@63.19,54.18 ± 3.87 / 49.44 ± 3.39@@54.18,62.63 ± 2.55 / 80.24 ± 1.28@@62.63,66.26 ± 1.70 / 37.07 ± 2.37@@66.26,30.46 ± 0.40 / 34.67 ± 0.42@@30.46,51.79 ± 5.82 / 64.33 ± 4.57@@51.79,84.96 ± 1.85 / 92.42 ± 0.92@@84.96,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.41@@1.41,?,?,256128.0,1048576.0,✓,✗,✗,✓,61.21 ± 1.77 / 70.28 ± 1.78@@61.21,52.88 ± 3.76 / 42.10 ± 2.32@@52.88,66.32 ± 1.93 / 83.11 ± 0.97@@66.32,60.87 ± 1.53 / 27.96 ± 2.06@@60.87,30.96 ± 0.39 / 34.72 ± 0.41@@30.96,47.01 ± 5.51 / 60.33 ± 4.35@@47.01,71.73 ± 2.14 / 85.86 ± 1.05@@71.73,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.48@@1.48,0.51,?,?,400000.0,✓,✗,✗,✓,57.70 ± 1.09 / 68.03 ± 0.91@@57.70,57.99 ± 1.66 / 56.85 ± 1.72@@57.99,53.72 ± 1.56 / 76.79 ± 0.77@@53.72,64.12 ± 0.72 / 36.93 ± 0.84@@64.12,30.07 ± 0.17 / 34.22 ± 0.17@@30.07,49.28 ± 2.62 / 62.17 ± 2.11@@49.28,70.39 ± 1.77 / 85.16 ± 0.89@@70.39,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.48@@1.48,7.28,?,256128.0,1048576.0,✓,✗,✗,✓,67.41 ± 1.52 / 75.42 ± 1.11@@67.41,52.74 ± 2.02 / 37.28 ± 1.25@@52.74,58.70 ± 1.14 / 78.29 ± 0.60@@58.70,62.75 ± 0.78 / 31.65 ± 0.77@@62.75,29.69 ± 0.20 / 34.23 ± 0.21@@29.69,49.15 ± 2.87 / 62.33 ± 2.25@@49.15,68.12 ± 1.49 / 83.91 ± 0.75@@68.12,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.49@@1.49,0.67,?,?,400000.0,✓,✗,✗,✓,60.18 ± 1.22 / 69.46 ± 1.03@@60.18,55.82 ± 1.77 / 51.77 ± 1.54@@55.82,49.33 ± 2.04 / 74.43 ± 1.02@@49.33,65.30 ± 0.60 / 36.49 ± 0.54@@65.30,30.04 ± 0.17 / 34.23 ± 0.18@@30.04,47.70 ± 2.32 / 60.67 ± 1.96@@47.70,69.28 ± 1.43 / 84.57 ± 0.71@@69.28,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.50@@1.50,?,?,?,?,✓,✗,✗,✓,63.49 ± 2.87 / 72.39 ± 2.21@@63.49,56.74 ± 2.79 / 52.92 ± 2.74@@56.74,41.51 ± 2.15 / 70.68 ± 1.07@@41.51,64.40 ± 1.21 / 34.18 ± 1.67@@64.40,29.15 ± 0.35 / 33.31 ± 0.37@@29.15,50.17 ± 5.96 / 63.00 ± 4.61@@50.17,85.32 ± 1.72 / 92.66 ± 0.85@@85.32,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.66@@1.66,?,?,?,400000.0,✓,✗,✗,✓,57.49 ± 0.85 / 68.03 ± 0.77@@57.49,50.81 ± 1.83 / 37.75 ± 1.48@@50.81,46.55 ± 1.46 / 73.09 ± 0.73@@46.55,64.33 ± 0.65 / 37.08 ± 0.72@@64.33,29.45 ± 0.15 / 33.91 ± 0.15@@29.45,48.31 ± 2.66 / 61.00 ± 2.22@@48.31,62.67 ± 1.24 / 81.29 ± 0.60@@62.67,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.68@@1.68,5.12,?,?,?,✓,✗,✗,✓,63.92 ± 1.05 / 73.04 ± 0.85@@63.92,52.73 ± 1.89 / 44.97 ± 1.53@@52.73,52.96 ± 1.05 / 74.14 ± 0.58@@52.96,65.05 ± 0.69 / 32.79 ± 0.69@@65.05,29.25 ± 0.20 / 33.71 ± 0.21@@29.25,39.93 ± 2.66 / 54.67 ± 2.11@@39.93,70.20 ± 1.24 / 85.00 ± 0.65@@70.20,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
