<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model,generative_type,rank,albanian,bosnian,bulgarian,catalan,croatian,czech,danish,dutch,english,estonian,faroese,finnish,french,german,greek,hungarian,icelandic,italian,latvian,lithuanian,norwegian,polish,portuguese,romanian,serbian,slovak,slovene,spanish,swedish,ukrainian,parameters,vocabulary_size,context,commercial,merge
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.32@@1.32,1.26@@1.26,1.36@@1.36,1.15@@1.15,1.39@@1.39,1.33@@1.33,1.34@@1.34,1.23@@1.23,1.34@@1.34,1.30@@1.30,1.27@@1.27,1.33@@1.33,1.43@@1.43,1.15@@1.15,1.45@@1.45,1.43@@1.43,1.39@@1.39,1.25@@1.25,1.30@@1.30,1.23@@1.23,1.36@@1.36,1.24@@1.24,1.39@@1.39,1.44@@1.44,1.59@@1.59,1.22@@1.22,1.31@@1.31,1.35@@1.35,1.27@@1.27,1.25@@1.25,1.23@@1.23,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview (zero-shot, val)</a>",🤔,1.42@@1.42,1.39@@1.39,1.43@@1.43,1.20@@1.20,1.48@@1.48,1.41@@1.41,1.24@@1.24,1.25@@1.25,1.35@@1.35,1.24@@1.24,1.26@@1.26,1.44@@1.44,1.43@@1.43,1.27@@1.27,1.66@@1.66,1.36@@1.36,1.52@@1.52,1.50@@1.50,1.42@@1.42,1.41@@1.41,1.51@@1.51,1.39@@1.39,1.53@@1.53,1.56@@1.56,1.71@@1.71,1.31@@1.31,1.53@@1.53,1.51@@1.51,1.43@@1.43,1.39@@1.39,1.53@@1.53,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.42@@1.42,1.39@@1.39,1.43@@1.43,1.20@@1.20,1.48@@1.48,1.41@@1.41,1.24@@1.24,1.25@@1.25,1.35@@1.35,1.24@@1.24,1.26@@1.26,1.44@@1.44,1.43@@1.43,1.27@@1.27,1.66@@1.66,1.36@@1.36,1.52@@1.52,1.50@@1.50,1.42@@1.42,1.41@@1.41,1.51@@1.51,1.39@@1.39,1.53@@1.53,1.56@@1.56,1.71@@1.71,1.31@@1.31,1.53@@1.53,1.51@@1.51,1.43@@1.43,1.39@@1.39,1.53@@1.53,?,256128.0,1048576.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.47@@1.47,1.54@@1.54,1.39@@1.39,1.28@@1.28,1.51@@1.51,1.45@@1.45,1.34@@1.34,1.22@@1.22,1.30@@1.30,1.35@@1.35,1.46@@1.46,1.67@@1.67,1.67@@1.67,1.36@@1.36,1.59@@1.59,1.43@@1.43,1.49@@1.49,1.66@@1.66,1.74@@1.74,1.36@@1.36,1.62@@1.62,1.44@@1.44,1.47@@1.47,1.83@@1.83,1.68@@1.68,1.23@@1.23,1.39@@1.39,1.32@@1.32,1.62@@1.62,1.25@@1.25,1.29@@1.29,?,?,?,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.48@@1.48,1.52@@1.52,1.40@@1.40,1.22@@1.22,1.60@@1.60,1.55@@1.55,1.39@@1.39,1.27@@1.27,1.49@@1.49,1.46@@1.46,1.37@@1.37,1.73@@1.73,1.47@@1.47,1.59@@1.59,1.69@@1.69,1.52@@1.52,1.55@@1.55,1.34@@1.34,1.90@@1.90,1.18@@1.18,1.50@@1.50,1.35@@1.35,1.38@@1.38,2.02@@2.02,1.67@@1.67,1.21@@1.21,1.38@@1.38,1.35@@1.35,1.72@@1.72,1.35@@1.35,1.26@@1.26,?,100256.0,272000.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.54@@1.54,1.44@@1.44,1.40@@1.40,1.26@@1.26,1.59@@1.59,1.55@@1.55,1.35@@1.35,1.39@@1.39,1.52@@1.52,1.50@@1.50,1.32@@1.32,1.72@@1.72,1.53@@1.53,1.53@@1.53,1.73@@1.73,1.57@@1.57,1.50@@1.50,1.57@@1.57,1.96@@1.96,1.41@@1.41,1.56@@1.56,1.42@@1.42,1.55@@1.55,2.18@@2.18,1.75@@1.75,1.37@@1.37,1.47@@1.47,1.40@@1.40,1.78@@1.78,1.41@@1.41,1.40@@1.40,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.61@@1.61,1.56@@1.56,1.35@@1.35,1.27@@1.27,1.62@@1.62,1.52@@1.52,1.41@@1.41,1.40@@1.40,1.66@@1.66,1.64@@1.64,1.65@@1.65,2.13@@2.13,1.58@@1.58,1.59@@1.59,1.88@@1.88,1.62@@1.62,1.58@@1.58,1.69@@1.69,2.08@@2.08,1.30@@1.30,1.69@@1.69,1.78@@1.78,1.53@@1.53,2.28@@2.28,1.69@@1.69,1.31@@1.31,1.43@@1.43,1.31@@1.31,1.79@@1.79,1.45@@1.45,1.39@@1.39,?,256128.0,1048576.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.66@@1.66,1.70@@1.70,1.39@@1.39,1.46@@1.46,1.79@@1.79,1.76@@1.76,1.66@@1.66,1.36@@1.36,1.59@@1.59,1.40@@1.40,1.82@@1.82,2.26@@2.26,1.65@@1.65,1.40@@1.40,1.70@@1.70,1.70@@1.70,1.76@@1.76,1.97@@1.97,1.68@@1.68,1.36@@1.36,1.80@@1.80,1.67@@1.67,1.75@@1.75,1.58@@1.58,1.94@@1.94,1.58@@1.58,1.83@@1.83,1.56@@1.56,1.61@@1.61,1.44@@1.44,1.66@@1.66,?,?,?,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.72@@1.72,1.69@@1.69,1.46@@1.46,1.40@@1.40,1.75@@1.75,1.71@@1.71,1.57@@1.57,1.57@@1.57,1.70@@1.70,1.61@@1.61,1.79@@1.79,2.20@@2.20,1.81@@1.81,1.79@@1.79,1.85@@1.85,1.78@@1.78,1.77@@1.77,1.93@@1.93,2.04@@2.04,1.48@@1.48,1.63@@1.63,1.61@@1.61,1.75@@1.75,2.29@@2.29,1.86@@1.86,1.44@@1.44,1.62@@1.62,1.64@@1.64,1.90@@1.90,1.53@@1.53,1.52@@1.52,?,100256.0,272000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.73@@1.73,1.59@@1.59,1.47@@1.47,1.42@@1.42,1.73@@1.73,1.70@@1.70,1.57@@1.57,1.39@@1.39,1.56@@1.56,1.49@@1.49,1.70@@1.70,2.18@@2.18,1.81@@1.81,1.67@@1.67,1.88@@1.88,1.73@@1.73,1.73@@1.73,1.85@@1.85,2.14@@2.14,1.69@@1.69,1.69@@1.69,1.60@@1.60,1.84@@1.84,2.21@@2.21,1.89@@1.89,1.62@@1.62,1.90@@1.90,1.86@@1.86,1.87@@1.87,1.53@@1.53,1.71@@1.71,?,?,1047576.0,✓,✗
