<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,,,,,,,,,,
model,generative_type,rank,danish,dutch,english,estonian,faroese,finnish,french,german,icelandic,italian,latvian,lithuanian,norwegian,polish,portuguese,spanish,swedish,parameters,vocabulary_size,context,commercial,merge
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.54@@1.54,1.16@@1.16,1.18@@1.18,1.42@@1.42,1.58@@1.58,1.62@@1.62,1.76@@1.76,1.49@@1.49,1.77@@1.77,1.37@@1.37,1.50@@1.50,1.41@@1.41,2.46@@2.46,1.40@@1.40,1.53@@1.53,1.47@@1.47,1.71@@1.71,1.31@@1.31,?,?,?,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.56@@1.56,1.25@@1.25,1.45@@1.45,1.54@@1.54,1.40@@1.40,1.68@@1.68,1.38@@1.38,1.78@@1.78,1.83@@1.83,1.24@@1.24,1.69@@1.69,1.19@@1.19,2.28@@2.28,1.38@@1.38,1.49@@1.49,1.87@@1.87,1.80@@1.80,1.31@@1.31,?,100256.0,272000.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.62@@1.62,1.43@@1.43,1.35@@1.35,1.45@@1.45,1.63@@1.63,1.96@@1.96,1.51@@1.51,1.66@@1.66,1.66@@1.66,1.90@@1.90,1.55@@1.55,1.55@@1.55,2.26@@2.26,1.52@@1.52,1.69@@1.69,1.52@@1.52,1.53@@1.53,1.42@@1.42,235107904512.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.66@@1.66,1.51@@1.51,1.38@@1.38,1.64@@1.64,1.77@@1.77,2.60@@2.60,1.52@@1.52,1.54@@1.54,1.51@@1.51,2.05@@2.05,1.32@@1.32,1.69@@1.69,2.29@@2.29,1.52@@1.52,1.61@@1.61,1.31@@1.31,1.49@@1.49,1.43@@1.43,24011361280.0,131072.0,?,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.68@@1.68,1.46@@1.46,1.34@@1.34,1.46@@1.46,1.87@@1.87,2.44@@2.44,1.59@@1.59,1.61@@1.61,1.54@@1.54,2.13@@2.13,1.47@@1.47,1.55@@1.55,2.57@@2.57,1.57@@1.57,1.61@@1.61,1.44@@1.44,1.48@@1.48,1.42@@1.42,32759790592.0,151665.0,131072.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.69@@1.69,1.51@@1.51,1.38@@1.38,1.57@@1.57,2.00@@2.00,2.59@@2.59,1.45@@1.45,1.66@@1.66,1.54@@1.54,1.95@@1.95,1.38@@1.38,1.72@@1.72,2.41@@2.41,1.54@@1.54,1.66@@1.66,1.55@@1.55,1.52@@1.52,1.35@@1.35,24011361280.0,131072.0,?,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.70@@1.70,1.40@@1.40,1.45@@1.45,1.45@@1.45,1.74@@1.74,2.20@@2.20,1.66@@1.66,1.67@@1.67,1.68@@1.68,2.06@@2.06,1.51@@1.51,1.76@@1.76,2.53@@2.53,1.49@@1.49,1.74@@1.74,1.42@@1.42,1.70@@1.70,1.36@@1.36,70553706496.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.70@@1.70,1.50@@1.50,1.41@@1.41,1.55@@1.55,1.75@@1.75,2.56@@2.56,1.59@@1.59,1.59@@1.59,1.59@@1.59,2.05@@2.05,1.58@@1.58,1.73@@1.73,2.33@@2.33,1.54@@1.54,1.72@@1.72,1.36@@1.36,1.57@@1.57,1.45@@1.45,24011361280.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.71@@1.71,1.41@@1.41,1.32@@1.32,1.43@@1.43,2.21@@2.21,2.39@@2.39,1.42@@1.42,1.52@@1.52,1.58@@1.58,2.05@@2.05,1.49@@1.49,2.34@@2.34,2.62@@2.62,1.43@@1.43,1.72@@1.72,1.27@@1.27,1.65@@1.65,1.28@@1.28,70553706496.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.73@@1.73,1.52@@1.52,1.44@@1.44,1.51@@1.51,1.74@@1.74,2.43@@2.43,1.68@@1.68,1.64@@1.64,1.75@@1.75,2.22@@2.22,1.48@@1.48,1.76@@1.76,2.39@@2.39,1.61@@1.61,1.81@@1.81,1.47@@1.47,1.53@@1.53,1.47@@1.47,81324862720.0,151936.0,262144.0,✓,✗
