<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/faroese#fosent'>fosent</a>,<a href='https://euroeval.com/datasets/faroese#fone'>fone</a>,<a href='https://euroeval.com/datasets/faroese#scala-fo'>scala_fo</a>,<a href='https://euroeval.com/datasets/faroese#foqa'>foqa</a>,fosent_version,fone_version,scala_fo_version,foqa_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.33@@1.33,?,256128.0,1048576.0,✓,✗,83.10 ± 3.89 / 87.67 ± 2.66@@83.10,72.22 ± 1.10 / 59.20 ± 1.29@@72.22,54.60 ± 2.60 / 73.58 ± 1.54@@54.60,72.96 ± 1.20 / 46.40 ± 1.53@@72.96,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.35@@1.35,?,256128.0,1048576.0,✓,✗,84.89 ± 5.10 / 89.43 ± 3.72@@84.89,69.06 ± 1.36 / 50.14 ± 1.07@@69.06,51.83 ± 3.04 / 75.66 ± 1.60@@51.83,73.34 ± 1.28 / 52.52 ± 1.31@@73.34,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.44@@1.44,?,256128.0,1048576.0,✓,✗,82.77 ± 3.70 / 87.49 ± 2.66@@82.77,83.89 ± 0.98 / 69.09 ± 0.87@@83.89,42.19 ± 3.13 / 69.98 ± 1.63@@42.19,72.25 ± 1.04 / 49.36 ± 1.77@@72.25,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.52@@1.52,?,100256.0,272000.0,✓,✗,67.04 ± 5.23 / 77.56 ± 3.50@@67.04,75.95 ± 0.85 / 62.35 ± 0.64@@75.95,50.38 ± 2.99 / 73.59 ± 1.64@@50.38,74.97 ± 1.27 / 58.31 ± 1.94@@74.97,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.55@@1.55,?,?,200000.0,✓,✗,70.98 ± 3.78 / 77.68 ± 4.01@@70.98,76.11 ± 0.83 / 68.99 ± 1.01@@76.11,49.81 ± 2.92 / 73.58 ± 1.60@@49.81,73.11 ± 1.35 / 56.73 ± 1.97@@73.11,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.68@@1.68,?,?,?,✓,✗,74.33 ± 3.53 / 81.72 ± 2.76@@74.33,83.21 ± 0.74 / 79.99 ± 0.81@@83.21,38.51 ± 2.59 / 68.92 ± 1.22@@38.51,73.40 ± 1.22 / 54.89 ± 1.90@@73.40,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.72@@1.72,?,256128.0,1048576.0,✓,✗,68.01 ± 5.50 / 77.59 ± 3.70@@68.01,72.94 ± 1.13 / 59.42 ± 0.69@@72.94,45.33 ± 2.72 / 71.92 ± 1.29@@45.33,69.83 ± 1.33 / 42.70 ± 1.51@@69.83,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.74@@1.74,?,100256.0,272000.0,✓,✗,65.14 ± 5.56 / 76.84 ± 3.66@@65.14,75.41 ± 1.29 / 62.31 ± 1.10@@75.41,42.60 ± 3.78 / 67.33 ± 2.22@@42.60,72.41 ± 1.56 / 54.75 ± 2.45@@72.41,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.82@@1.82,?,256128.0,1048576.0,✓,✗,79.61 ± 3.88 / 87.10 ± 2.32@@79.61,81.04 ± 1.32 / 56.55 ± 1.00@@81.04,32.02 ± 3.97 / 62.33 ± 2.20@@32.02,70.37 ± 1.19 / 45.56 ± 1.61@@70.37,-@@0,-@@0,-@@0,-@@0
