<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/finnish#scandisent-fi'>scandisent_fi</a>,<a href='https://euroeval.com/datasets/finnish#turku-ner-fi'>turku_ner_fi</a>,<a href='https://euroeval.com/datasets/finnish#scala-fi'>scala_fi</a>,<a href='https://euroeval.com/datasets/finnish#tydiqa-fi'>tydiqa_fi</a>,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base</a>,🧠,1.40@@1.40,70553706496.0,128256.0,8192.0,✓,✗,93.18 ± 0.68 / 96.56 ± 0.36@@93.18,74.27 ± 1.37 / 58.78 ± 4.26@@74.27,44.16 ± 2.15 / 71.59 ± 1.27@@44.16,76.52 ± 1.76 / 59.75 ± 2.10@@76.52,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.46@@1.46,70553706496.0,128256.0,131072.0,✓,✗,92.64 ± 0.74 / 96.28 ± 0.39@@92.64,73.64 ± 0.79 / 56.68 ± 3.59@@73.64,38.56 ± 1.29 / 67.77 ± 1.51@@38.56,76.96 ± 1.26 / 59.60 ± 2.49@@76.96,16.5.0.dev0@@160500,15.7.2@@150702,16.5.0.dev0@@160500,15.7.2@@150702
<a href='https://hf.co/TurkuNLP/bert-large-finnish-cased-v1'>TurkuNLP/bert-large-finnish-cased-v1</a>,🔍,1.46@@1.46,354147330.0,50105.0,512.0,✓,✗,91.97 ± 0.59 / 95.98 ± 0.29@@91.97,80.97 ± 1.09 / 77.63 ± 1.20@@80.97,48.93 ± 4.54 / 73.38 ± 2.52@@48.93,59.30 ± 1.30 / 38.13 ± 0.86@@59.30,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.47@@1.47,405853388800.0,128256.0,131072.0,✓,✗,93.31 ± 0.63 / 96.64 ± 0.33@@93.31,71.28 ± 4.26 / 60.71 ± 3.16@@71.28,43.72 ± 3.52 / 68.49 ± 2.96@@43.72,74.13 ± 2.17 / 57.17 ± 3.68@@74.13,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.49@@1.49,?,100256.0,272000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,76.54 ± 1.54 / 59.13 ± 1.41@@76.54,46.59 ± 2.38 / 72.07 ± 1.32@@46.59,62.18 ± 0.89 / 45.45 ± 1.22@@62.18,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.49@@1.49,?,100256.0,272000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,76.97 ± 1.87 / 59.31 ± 2.23@@76.97,48.12 ± 2.45 / 73.36 ± 1.45@@48.12,62.84 ± 0.70 / 45.44 ± 0.78@@62.84,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.50@@1.50,?,256128.0,1048576.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,63.81 ± 2.27 / 47.97 ± 2.39@@63.81,62.11 ± 2.92 / 80.41 ± 1.48@@62.11,59.81 ± 0.73 / 36.69 ± 1.31@@59.81,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.51@@1.51,?,256128.0,1048576.0,✓,✗,91.13 ± 1.00 / 95.45 ± 0.51@@91.13,75.36 ± 2.11 / 60.19 ± 1.79@@75.36,51.06 ± 3.86 / 75.43 ± 1.95@@51.06,55.16 ± 0.90 / 30.10 ± 1.32@@55.16,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.52@@1.52,70553706496.0,128256.0,8192.0,✓,✗,93.25 ± 0.65 / 96.60 ± 0.34@@93.25,68.97 ± 1.83 / 44.41 ± 3.35@@68.97,45.60 ± 2.20 / 71.84 ± 1.60@@45.60,65.59 ± 1.53 / 46.24 ± 2.04@@65.59,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
