<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/french#allocine'>allocine</a>,<a href='https://euroeval.com/datasets/french#eltec'>eltec</a>,<a href='https://euroeval.com/datasets/french#scala-fr'>scala_fr</a>,<a href='https://euroeval.com/datasets/french#fquad'>fquad</a>,<a href='https://euroeval.com/datasets/french#orange-sum'>orange_sum</a>,<a href='https://euroeval.com/datasets/french#mmlu-fr'>mmlu_fr</a>,<a href='https://euroeval.com/datasets/french#hellaswag-fr'>hellaswag_fr</a>,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.15@@1.15,0.06,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,76.68 ± 2.83 / 69.95 ± 2.76@@76.68,75.59 ± 2.57 / 87.77 ± 1.30@@75.59,68.33 ± 0.77 / 35.80 ± 1.07@@68.33,67.00 ± 0.13 / 16.20 ± 0.20@@67.00,82.03 ± 1.68 / 86.80 ± 1.26@@82.03,81.83 ± 2.26 / 86.21 ± 1.73@@81.83,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.26@@1.26,81.35,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,69.95 ± 3.18 / 63.04 ± 3.00@@69.95,71.28 ± 2.81 / 85.53 ± 1.38@@71.28,64.18 ± 1.02 / 28.12 ± 1.83@@64.18,66.54 ± 0.12 / 15.73 ± 0.15@@66.54,85.70 ± 1.98 / 89.45 ± 1.45@@85.70,79.63 ± 1.91 / 84.65 ± 1.44@@79.63,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.28@@1.28,15.42,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,68.96 ± 2.58 / 58.57 ± 2.09@@68.96,72.36 ± 2.09 / 86.03 ± 1.08@@72.36,64.18 ± 1.02 / 28.12 ± 1.83@@64.18,66.57 ± 0.12 / 16.06 ± 0.14@@66.57,84.17 ± 1.71 / 88.32 ± 1.25@@84.17,81.13 ± 1.71 / 85.78 ± 1.30@@81.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.35@@1.35,?,?,?,?,✓,✗,95.72 ± 1.32 / 97.83 ± 0.67@@95.72,79.18 ± 3.78 / 72.73 ± 3.82@@79.18,43.92 ± 1.64 / 62.67 ± 1.57@@43.92,68.49 ± 0.90 / 35.24 ± 1.24@@68.49,65.90 ± 0.12 / 14.53 ± 0.17@@65.90,85.94 ± 1.60 / 89.57 ± 1.19@@85.94,86.69 ± 1.91 / 90.00 ± 1.45@@86.69,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.40@@1.40,69.5,?,?,400000.0,✓,✗,95.69 ± 1.05 / 97.83 ± 0.53@@95.69,63.94 ± 2.95 / 52.62 ± 3.35@@63.94,67.46 ± 1.70 / 82.86 ± 0.95@@67.46,70.22 ± 0.61 / 33.02 ± 1.30@@70.22,66.09 ± 0.15 / 14.73 ± 0.20@@66.09,77.17 ± 2.00 / 83.09 ± 1.52@@77.17,71.53 ± 1.84 / 78.44 ± 1.44@@71.53,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.41@@1.41,0.34,?,?,200000.0,✓,✗,94.00 ± 0.91 / 96.96 ± 0.48@@94.00,80.67 ± 2.52 / 75.57 ± 2.88@@80.67,44.68 ± 4.39 / 65.56 ± 2.58@@44.68,70.89 ± 0.70 / 38.39 ± 1.34@@70.89,66.36 ± 0.11 / 16.61 ± 0.19@@66.36,69.86 ± 1.72 / 77.50 ± 1.25@@69.86,87.88 ± 1.29 / 90.82 ± 1.00@@87.88,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.44@@1.44,N/A,24011361280.0,131072.0,8192.0,✓,✗,94.50 ± 0.65 / 97.24 ± 0.32@@94.50,67.39 ± 1.50 / 64.84 ± 1.16@@67.39,67.65 ± 2.49 / 83.38 ± 1.56@@67.65,76.42 ± 2.37 / 48.05 ± 2.20@@76.42,67.29 ± 0.72 / 22.71 ± 1.04@@67.29,67.61 ± 0.59 / 75.68 ± 0.44@@67.61,58.37 ± 1.06 / 68.26 ± 0.84@@58.37,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.47@@1.47,N/A,70553706496.0,128256.0,131072.0,✓,✗,94.61 ± 0.53 / 97.28 ± 0.27@@94.61,69.69 ± 1.62 / 67.86 ± 1.53@@69.69,66.59 ± 2.42 / 83.09 ± 1.31@@66.59,76.72 ± 1.46 / 47.78 ± 1.33@@76.72,66.90 ± 0.74 / 21.74 ± 1.26@@66.90,62.95 ± 0.68 / 72.00 ± 0.52@@62.95,52.12 ± 3.90 / 61.59 ± 3.36@@52.12,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.5.0.dev0@@160500,15.7.2.dev0@@150702,15.7.2.dev0@@150702,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.47@@1.47,38.1,32759790592.0,151665.0,131072.0,✓,✗,95.42 ± 0.53 / 97.71 ± 0.26@@95.42,71.74 ± 1.69 / 65.08 ± 1.92@@71.74,40.38 ± 1.69 / 61.68 ± 1.46@@40.38,73.88 ± 0.55 / 43.02 ± 0.58@@73.88,66.46 ± 0.14 / 17.80 ± 0.35@@66.46,79.16 ± 0.47 / 84.35 ± 0.36@@79.16,82.35 ± 0.63 / 86.69 ± 0.48@@82.35,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
