<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/french#allocine'>allocine</a>,<a href='https://euroeval.com/datasets/french#eltec'>eltec</a>,<a href='https://euroeval.com/datasets/french#scala-fr'>scala_fr</a>,<a href='https://euroeval.com/datasets/french#fquad'>fquad</a>,allocine_version,eltec_version,scala_fr_version,fquad_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.15@@1.15,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,76.68 ± 2.83 / 69.95 ± 2.76@@76.68,75.59 ± 2.57 / 87.77 ± 1.30@@75.59,68.33 ± 0.77 / 35.80 ± 1.07@@68.33,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.25@@1.25,70553706496.0,128256.0,131072.0,✓,✗,94.61 ± 0.53 / 97.28 ± 0.27@@94.61,69.69 ± 1.62 / 67.86 ± 1.53@@69.69,66.59 ± 2.42 / 83.09 ± 1.31@@66.59,76.72 ± 1.46 / 47.78 ± 1.33@@76.72,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.32@@1.32,24011361280.0,131072.0,8192.0,✓,✗,94.50 ± 0.65 / 97.24 ± 0.32@@94.50,67.39 ± 1.50 / 64.84 ± 1.16@@67.39,67.65 ± 2.49 / 83.38 ± 1.56@@67.65,76.42 ± 2.37 / 48.05 ± 2.20@@76.42,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.33@@1.33,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,69.95 ± 3.18 / 63.04 ± 3.00@@69.95,71.28 ± 2.81 / 85.53 ± 1.38@@71.28,64.18 ± 1.02 / 28.12 ± 1.83@@64.18,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/almanach/camembert-large'>almanach/camembert-large</a>,🔍,1.34@@1.34,336695557.0,32005.0,512.0,✓,✗,92.68 ± 0.73 / 96.33 ± 0.37@@92.68,75.15 ± 1.25 / 74.82 ± 1.50@@75.15,60.80 ± 14.71 / 79.83 ± 7.36@@60.80,70.51 ± 1.17 / 42.49 ± 1.57@@70.51,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.36@@1.36,?,256128.0,1048576.0,✓,✗,96.70 ± 1.23 / 98.34 ± 0.61@@96.70,68.96 ± 2.58 / 58.57 ± 2.09@@68.96,72.36 ± 2.09 / 86.03 ± 1.08@@72.36,64.18 ± 1.02 / 28.12 ± 1.83@@64.18,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.41@@1.41,?,?,400000.0,✓,✗,95.69 ± 1.05 / 97.83 ± 0.53@@95.69,63.94 ± 2.95 / 52.62 ± 3.35@@63.94,67.46 ± 1.70 / 82.86 ± 0.95@@67.46,70.22 ± 0.61 / 33.02 ± 1.30@@70.22,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.51@@1.51,?,?,200000.0,✓,✗,94.00 ± 0.91 / 96.96 ± 0.48@@94.00,80.67 ± 2.52 / 75.57 ± 2.88@@80.67,44.68 ± 4.39 / 65.56 ± 2.58@@44.68,70.89 ± 0.70 / 38.39 ± 1.34@@70.89,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.53@@1.53,561192082.0,250002.0,512.0,✓,✗,81.06 ± 17.68 / 88.90 ± 11.95@@81.06,76.11 ± 1.38 / 75.16 ± 1.14@@76.11,60.35 ± 12.78 / 79.40 ± 6.51@@60.35,61.27 ± 0.73 / 37.02 ± 0.88@@61.27,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/almanach/camembertv2-base'>almanach/camembertv2-base</a>,🔍,1.53@@1.53,111635713.0,32768.0,1024.0,✓,✗,90.12 ± 0.75 / 95.01 ± 0.41@@90.12,77.86 ± 1.21 / 77.54 ± 1.16@@77.86,69.19 ± 2.41 / 83.74 ± 1.66@@69.19,45.09 ± 3.46 / 25.17 ± 2.62@@45.09,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.54@@1.54,?,?,?,✓,✗,95.72 ± 1.32 / 97.83 ± 0.67@@95.72,79.18 ± 3.78 / 72.73 ± 3.82@@79.18,43.92 ± 1.64 / 62.67 ± 1.57@@43.92,68.49 ± 0.90 / 35.24 ± 1.24@@68.49,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,1.59@@1.59,31577937344.0,131072.0,262144.0,✓,✗,93.16 ± 0.57 / 96.56 ± 0.29@@93.16,59.82 ± 0.73 / 52.47 ± 1.94@@59.82,56.03 ± 1.76 / 77.38 ± 1.05@@56.03,76.26 ± 0.66 / 49.13 ± 0.90@@76.26,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.60@@1.60,24011361280.0,131072.0,?,✓,✗,94.28 ± 0.63 / 97.13 ± 0.32@@94.28,70.47 ± 1.77 / 65.73 ± 2.25@@70.47,45.87 ± 1.76 / 68.72 ± 1.43@@45.87,73.74 ± 2.07 / 45.18 ± 1.73@@73.74,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.61@@1.61,27432406640.0,262144.0,8192.0,✓,✗,94.04 ± 0.76 / 96.99 ± 0.39@@94.04,51.12 ± 4.79 / 49.83 ± 4.74@@51.12,61.16 ± 4.24 / 78.80 ± 3.26@@61.16,76.08 ± 1.83 / 46.65 ± 1.52@@76.08,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.62@@1.62,12187325040.0,262144.0,8192.0,✓,✗,92.83 ± 0.95 / 96.33 ± 0.50@@92.83,57.96 ± 2.04 / 55.59 ± 2.18@@57.96,59.76 ± 1.73 / 79.45 ± 0.87@@59.76,73.09 ± 3.12 / 45.61 ± 2.03@@73.09,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.63@@1.63,70553706496.0,128256.0,8192.0,✓,✗,94.44 ± 0.62 / 97.19 ± 0.32@@94.44,68.67 ± 1.61 / 65.40 ± 1.45@@68.67,42.85 ± 3.39 / 67.28 ± 2.99@@42.85,76.09 ± 1.41 / 47.07 ± 1.27@@76.09,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.64@@1.64,32207337984.0,100352.0,131072.0,✓,✗,93.30 ± 0.66 / 96.62 ± 0.33@@93.30,59.30 ± 1.89 / 54.05 ± 2.58@@59.30,58.09 ± 2.56 / 78.74 ± 1.60@@58.09,68.88 ± 1.60 / 40.56 ± 0.98@@68.88,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.65@@1.65,24011361280.0,131072.0,8192.0,✓,✗,94.42 ± 0.52 / 97.20 ± 0.26@@94.42,66.41 ± 1.57 / 61.89 ± 1.95@@66.41,45.11 ± 1.98 / 68.80 ± 1.61@@45.11,74.22 ± 2.15 / 46.96 ± 1.74@@74.22,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.66@@1.66,24261800960.0,131072.0,8192.0,✓,✗,93.89 ± 0.62 / 96.94 ± 0.31@@93.89,71.03 ± 1.57 / 67.68 ± 1.56@@71.03,41.58 ± 3.18 / 63.11 ± 3.29@@41.58,73.64 ± 1.94 / 44.86 ± 1.57@@73.64,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.67@@1.67,32759790592.0,151665.0,131072.0,✓,✗,95.42 ± 0.53 / 97.71 ± 0.26@@95.42,71.74 ± 1.69 / 65.08 ± 1.92@@71.74,40.38 ± 1.69 / 61.68 ± 1.46@@40.38,73.88 ± 0.55 / 43.02 ± 0.58@@73.88,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.68@@1.68,405853388800.0,128256.0,131072.0,✓,✗,94.33 ± 0.51 / 97.15 ± 0.25@@94.33,54.98 ± 2.02 / 54.42 ± 2.12@@54.98,52.64 ± 4.14 / 74.28 ± 2.98@@52.64,77.36 ± 2.96 / 50.24 ± 2.82@@77.36,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,1.68@@1.68,32233522176.0,100278.0,65536.0,✗,✗,94.51 ± 0.55 / 97.22 ± 0.29@@94.51,60.36 ± 1.67 / 57.02 ± 1.74@@60.36,52.48 ± 1.86 / 75.54 ± 1.22@@52.48,71.93 ± 3.08 / 44.28 ± 2.56@@71.93,-@@0,-@@0,-@@0,-@@0
