<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/german#sb10k'>sb10k</a>,<a href='https://euroeval.com/datasets/german#germeval'>germeval</a>,<a href='https://euroeval.com/datasets/german#scala-de'>scala_de</a>,<a href='https://euroeval.com/datasets/german#germanquad'>germanquad</a>,<a href='https://euroeval.com/datasets/german#mlsum-de'>mlsum_de</a>,<a href='https://euroeval.com/datasets/german#mmlu-de'>mmlu_de</a>,<a href='https://euroeval.com/datasets/german#hellaswag-de'>hellaswag_de</a>,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_de_version,mmlu_de_version,hellaswag_de_version
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.55@@1.55,N/A,24011361280.0,131072.0,8192.0,✓,✗,57.03 ± 2.72 / 70.55 ± 1.80@@57.03,68.91 ± 1.53 / 62.62 ± 2.13@@68.91,64.74 ± 1.43 / 81.81 ± 1.05@@64.74,68.95 ± 3.37 / 39.28 ± 2.85@@68.95,41.16 ± 3.97 / 43.23 ± 4.62@@41.16,65.88 ± 0.80 / 74.42 ± 0.61@@65.88,59.28 ± 1.73 / 68.85 ± 1.40@@59.28,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.56@@1.56,N/A,70553706496.0,128256.0,131072.0,✓,✗,58.76 ± 2.51 / 70.76 ± 2.55@@58.76,70.94 ± 1.05 / 63.71 ± 1.63@@70.94,66.08 ± 1.36 / 82.72 ± 0.83@@66.08,68.12 ± 3.42 / 39.20 ± 2.39@@68.12,39.19 ± 4.89 / 40.12 ± 5.40@@39.19,62.10 ± 0.74 / 71.52 ± 0.56@@62.10,52.89 ± 3.03 / 62.59 ± 2.70@@52.89,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,256128.0,1048576.0,✓,✗,57.45 ± 2.72 / 70.00 ± 1.97@@57.45,66.89 ± 1.82 / 54.54 ± 1.49@@66.89,74.00 ± 2.54 / 86.95 ± 1.28@@74.00,56.11 ± 1.56 / 30.85 ± 1.84@@56.11,31.60 ± 0.32 / 36.89 ± 0.32@@31.60,90.46 ± 0.93 / 92.89 ± 0.68@@90.46,82.16 ± 1.36 / 86.60 ± 1.00@@82.16,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.62@@1.62,?,24011361280.0,131072.0,?,✓,✗,60.32 ± 3.35 / 73.13 ± 2.15@@60.32,70.47 ± 1.37 / 64.13 ± 1.69@@70.47,51.92 ± 1.97 / 74.33 ± 0.96@@51.92,65.36 ± 2.63 / 31.95 ± 2.91@@65.36,36.83 ± 0.24 / 40.12 ± 0.60@@36.83,65.65 ± 0.75 / 74.25 ± 0.56@@65.65,84.10 ± 0.61 / 88.05 ± 0.46@@84.10,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.15.0.dev0@@161500,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.62@@1.62,62.52,32759790592.0,151665.0,131072.0,✓,✗,61.29 ± 2.49 / 73.17 ± 1.88@@61.29,73.22 ± 1.06 / 56.13 ± 2.75@@73.22,52.41 ± 1.58 / 74.01 ± 1.09@@52.41,61.10 ± 1.19 / 31.79 ± 1.05@@61.10,35.36 ± 0.15 / 38.78 ± 0.30@@35.36,76.14 ± 0.65 / 82.10 ± 0.49@@76.14,82.44 ± 0.91 / 86.75 ± 0.69@@82.44,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.63@@1.63,?,24011361280.0,131072.0,?,✓,✗,62.28 ± 2.60 / 74.66 ± 1.78@@62.28,70.67 ± 0.85 / 62.27 ± 1.84@@70.67,52.14 ± 2.19 / 74.69 ± 1.50@@52.14,64.85 ± 3.12 / 36.71 ± 2.65@@64.85,36.03 ± 0.47 / 39.33 ± 0.86@@36.03,64.83 ± 0.63 / 73.58 ± 0.49@@64.83,78.26 ± 1.19 / 83.55 ± 0.92@@78.26,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.65@@1.65,13.2,72706203648.0,152064.0,32768.0,✗,✗,56.78 ± 2.50 / 69.74 ± 1.97@@56.78,68.72 ± 1.92 / 57.12 ± 3.39@@68.72,62.06 ± 1.76 / 80.86 ± 0.87@@62.06,62.67 ± 1.91 / 34.04 ± 1.89@@62.67,34.94 ± 0.35 / 39.43 ± 0.33@@34.94,71.31 ± 1.79 / 78.52 ± 1.29@@71.31,78.36 ± 1.81 / 83.52 ± 1.43@@78.36,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.71@@1.71,N/A,27432406640.0,262144.0,8192.0,✓,✗,51.54 ± 5.08 / 59.69 ± 6.93@@51.54,62.20 ± 2.07 / 55.39 ± 2.33@@62.20,62.49 ± 2.08 / 80.67 ± 1.26@@62.49,67.98 ± 3.47 / 37.63 ± 3.04@@67.98,41.19 ± 3.59 / 42.91 ± 4.43@@41.19,63.21 ± 0.93 / 72.44 ± 0.68@@63.21,57.74 ± 2.62 / 66.99 ± 2.23@@57.74,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,15.6.1@@150601,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.73@@1.73,?,24261800960.0,131072.0,8192.0,✓,✗,54.78 ± 2.47 / 68.27 ± 2.23@@54.78,70.30 ± 1.12 / 64.73 ± 2.09@@70.30,48.42 ± 1.26 / 70.98 ± 1.08@@48.42,61.29 ± 3.23 / 34.30 ± 2.47@@61.29,36.76 ± 1.26 / 39.59 ± 1.75@@36.76,65.31 ± 0.98 / 73.94 ± 0.75@@65.31,77.95 ± 0.84 / 83.33 ± 0.64@@77.95,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
