<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,
model,generative_type,rank,danish,dutch,english,faroese,german,icelandic,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.38@@1.38,1.24@@1.24,1.47@@1.47,1.41@@1.41,1.42@@1.42,1.62@@1.62,1.30@@1.30,1.30@@1.30,1.29@@1.29,?,100256.0,272000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.43@@1.43,1.29@@1.29,1.49@@1.49,1.46@@1.46,1.68@@1.68,1.68@@1.68,1.18@@1.18,1.33@@1.33,1.33@@1.33,?,100256.0,272000.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.49@@1.49,1.30@@1.30,1.58@@1.58,1.46@@1.46,1.43@@1.43,1.69@@1.69,1.56@@1.56,1.45@@1.45,1.43@@1.43,?,?,200000.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.50@@1.50,1.42@@1.42,1.51@@1.51,1.49@@1.49,1.66@@1.66,1.73@@1.73,1.39@@1.39,1.39@@1.39,1.39@@1.39,?,256128.0,1048576.0,✓,✗
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.50@@1.50,1.31@@1.31,1.50@@1.50,1.44@@1.44,1.84@@1.84,1.67@@1.67,1.45@@1.45,1.38@@1.38,1.41@@1.41,?,?,200000.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.56@@1.56,1.45@@1.45,1.31@@1.31,1.34@@1.34,2.22@@2.22,1.56@@1.56,1.85@@1.85,1.42@@1.42,1.35@@1.35,405853388800.0,128256.0,131072.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.57@@1.57,1.43@@1.43,1.60@@1.60,1.56@@1.56,1.73@@1.73,1.84@@1.84,1.48@@1.48,1.48@@1.48,1.47@@1.47,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.61@@1.61,1.38@@1.38,1.43@@1.43,1.38@@1.38,1.90@@1.90,1.61@@1.61,2.13@@2.13,1.68@@1.68,1.39@@1.39,235107904512.0,151936.0,262144.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.63@@1.63,1.30@@1.30,1.43@@1.43,1.33@@1.33,1.97@@1.97,1.67@@1.67,2.28@@2.28,1.59@@1.59,1.45@@1.45,?,?,?,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.63@@1.63,1.44@@1.44,1.47@@1.47,1.35@@1.35,2.32@@2.32,1.55@@1.55,2.07@@2.07,1.57@@1.57,1.27@@1.27,405868625920.0,128256.0,131072.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.65@@1.65,1.49@@1.49,1.70@@1.70,1.62@@1.62,1.35@@1.35,1.84@@1.84,1.66@@1.66,1.76@@1.76,1.81@@1.81,?,256128.0,1048576.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.66@@1.66,1.40@@1.40,1.57@@1.57,1.48@@1.48,2.20@@2.20,1.88@@1.88,1.69@@1.69,1.58@@1.58,1.49@@1.49,?,?,1047576.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.67@@1.67,1.37@@1.37,1.52@@1.52,1.52@@1.52,2.21@@2.21,1.82@@1.82,1.90@@1.90,1.57@@1.57,1.45@@1.45,?,100256.0,272000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,1.68@@1.68,1.56@@1.56,1.69@@1.69,1.56@@1.56,2.05@@2.05,1.80@@1.80,1.69@@1.69,1.53@@1.53,1.54@@1.54,?,100256.0,272000.0,✓,✗
