<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Dutch,English,Faroese,German,Icelandic,Norwegian,Swedish
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.29@@1.29,?,256128.0,1048576.0,✓,✗,✗,✓,1.16@@1.16,1.23@@1.23,1.31@@1.31,1.34@@1.34,1.46@@1.46,1.34@@1.34,1.24@@1.24,1.22@@1.22
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.39@@1.39,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.13@@1.13,1.14@@1.14,1.25@@1.25,1.67@@1.67,1.41@@1.41,2.06@@2.06,1.28@@1.28,1.20@@1.20
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.40@@1.40,?,256128.0,1048576.0,✓,✗,✗,✓,1.18@@1.18,1.28@@1.28,1.27@@1.27,1.59@@1.59,1.54@@1.54,1.54@@1.54,1.40@@1.40,1.38@@1.38
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.41@@1.41,?,?,400000.0,✓,✗,✗,✓,1.24@@1.24,1.27@@1.27,1.36@@1.36,1.50@@1.50,1.46@@1.46,1.73@@1.73,1.41@@1.41,1.30@@1.30
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.42@@1.42,?,?,400000.0,✓,✗,✗,✓,1.27@@1.27,1.40@@1.40,1.29@@1.29,1.51@@1.51,1.55@@1.55,1.61@@1.61,1.45@@1.45,1.28@@1.28
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.43@@1.43,?,256128.0,1048576.0,✓,✗,✗,✓,1.17@@1.17,1.20@@1.20,1.23@@1.23,1.50@@1.50,1.74@@1.74,1.67@@1.67,1.45@@1.45,1.46@@1.46
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.44@@1.44,?,256128.0,1048576.0,✓,✗,✗,✓,1.27@@1.27,1.19@@1.19,1.26@@1.26,1.77@@1.77,1.64@@1.64,1.65@@1.65,1.38@@1.38,1.32@@1.32
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.44@@1.44,?,?,?,✓,✗,✗,✓,1.21@@1.21,1.22@@1.22,1.46@@1.46,1.65@@1.65,1.71@@1.71,1.60@@1.60,1.41@@1.41,1.26@@1.26
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.47@@1.47,?,?,400000.0,✓,✗,✗,✓,1.31@@1.31,1.34@@1.34,1.35@@1.35,1.59@@1.59,1.65@@1.65,1.72@@1.72,1.49@@1.49,1.32@@1.32
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.49@@1.49,?,100256.0,272000.0,✓,✗,✗,✓,1.18@@1.18,1.47@@1.47,1.57@@1.57,1.68@@1.68,1.80@@1.80,1.50@@1.50,1.41@@1.41,1.33@@1.33
