<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/greek#greek-sa'>greek_sa</a>,<a href='https://euroeval.com/datasets/greek#elner'>elner</a>,<a href='https://euroeval.com/datasets/greek#scala-el'>scala_el</a>,<a href='https://euroeval.com/datasets/greek#multi-wiki-qa-el'>multi_wiki_qa_el</a>,<a href='https://euroeval.com/datasets/greek#greek-wikipedia'>greek_wikipedia</a>,<a href='https://euroeval.com/datasets/greek#global-mmlu-el'>global_mmlu_el</a>,<a href='https://euroeval.com/datasets/greek#winogrande-el'>winogrande_el</a>,greek_sa_version,elner_version,scala_el_version,multi_wiki_qa_el_version,greek_wikipedia_version,global_mmlu_el_version,winogrande_el_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.21@@1.21,?,256128.0,1048576.0,✓,✗,81.97 ± 2.87 / 90.89 ± 1.46@@81.97,78.37 ± 0.93 / 56.71 ± 1.35@@78.37,66.99 ± 2.34 / 82.20 ± 1.42@@66.99,62.25 ± 1.09 / 26.25 ± 1.23@@62.25,32.37 ± 0.30 / 34.84 ± 0.38@@32.37,89.88 ± 1.65 / 92.42 ± 1.24@@89.88,79.37 ± 3.55 / 90.23 ± 1.80@@79.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.27@@1.27,?,256128.0,1048576.0,✓,✗,79.07 ± 2.98 / 89.44 ± 1.52@@79.07,77.77 ± 1.01 / 54.76 ± 0.73@@77.77,66.70 ± 2.80 / 83.25 ± 1.43@@66.70,62.25 ± 1.09 / 26.25 ± 1.23@@62.25,30.23 ± 0.37 / 31.20 ± 0.40@@30.23,88.78 ± 1.60 / 91.56 ± 1.22@@88.78,78.35 ± 4.00 / 89.53 ± 2.07@@78.35,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.29@@1.29,?,256128.0,1048576.0,✓,✗,78.66 ± 2.68 / 89.26 ± 1.39@@78.66,77.21 ± 1.22 / 56.14 ± 1.29@@77.21,54.39 ± 2.89 / 77.08 ± 1.49@@54.39,63.98 ± 1.05 / 31.78 ± 1.16@@63.98,31.97 ± 0.32 / 33.74 ± 0.38@@31.97,91.95 ± 1.48 / 93.98 ± 1.10@@91.95,81.52 ± 3.81 / 91.33 ± 1.89@@81.52,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.31@@1.31,?,?,200000.0,✓,✗,79.99 ± 3.83 / 89.96 ± 1.93@@79.99,81.13 ± 1.26 / 54.93 ± 1.06@@81.13,50.37 ± 3.15 / 73.43 ± 1.85@@50.37,61.96 ± 1.03 / 30.47 ± 1.37@@61.96,32.17 ± 0.31 / 33.83 ± 0.37@@32.17,88.95 ± 0.94 / 91.72 ± 0.71@@88.95,80.87 ± 3.07 / 90.86 ± 1.57@@80.87,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.55@@1.55,70553706496.0,128256.0,131072.0,✓,✗,83.30 ± 1.24 / 91.36 ± 0.65@@83.30,71.59 ± 1.23 / 56.46 ± 2.88@@71.59,53.21 ± 4.05 / 74.98 ± 2.13@@53.21,76.53 ± 1.97 / 55.41 ± 2.05@@76.53,36.77 ± 1.36 / 37.08 ± 1.45@@36.77,56.25 ± 0.78 / 66.77 ± 0.65@@56.25,48.44 ± 2.31 / 74.22 ± 1.13@@48.44,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.58@@1.58,?,?,?,✓,✗,79.33 ± 3.36 / 89.61 ± 1.71@@79.33,71.99 ± 1.53 / 57.02 ± 1.21@@71.99,56.23 ± 1.84 / 77.15 ± 1.10@@56.23,66.07 ± 0.88 / 31.66 ± 1.31@@66.07,31.73 ± 0.23 / 34.26 ± 0.30@@31.73,77.49 ± 2.01 / 83.09 ± 1.50@@77.49,52.39 ± 3.20 / 75.16 ± 1.49@@52.39,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.62@@1.62,?,100256.0,272000.0,✓,✗,75.00 ± 3.17 / 87.39 ± 1.59@@75.00,56.54 ± 1.59 / 41.95 ± 1.38@@56.54,48.70 ± 3.47 / 71.46 ± 1.97@@48.70,61.39 ± 0.88 / 36.02 ± 1.33@@61.39,31.77 ± 0.22 / 34.29 ± 0.28@@31.77,87.01 ± 1.41 / 90.27 ± 1.03@@87.01,69.09 ± 2.19 / 85.00 ± 1.35@@69.09,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.63@@1.63,?,?,1047576.0,✓,✗,80.50 ± 3.00 / 90.19 ± 1.55@@80.50,55.46 ± 1.55 / 37.67 ± 1.23@@55.46,57.62 ± 2.04 / 78.68 ± 1.02@@57.62,60.56 ± 1.27 / 27.91 ± 0.97@@60.56,32.49 ± 0.36 / 33.59 ± 0.41@@32.49,71.57 ± 2.31 / 78.67 ± 1.71@@71.57,62.95 ± 4.44 / 81.88 ± 2.27@@62.95,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.68@@1.68,27432406640.0,262144.0,8192.0,✓,✗,81.08 ± 2.15 / 89.66 ± 1.30@@81.08,70.21 ± 0.41 / 54.74 ± 2.82@@70.21,54.48 ± 3.43 / 75.14 ± 1.85@@54.48,74.20 ± 2.41 / 52.94 ± 2.06@@74.20,31.25 ± 1.46 / 31.16 ± 1.56@@31.25,61.06 ± 1.27 / 70.72 ± 0.99@@61.06,43.27 ± 1.87 / 71.58 ± 0.89@@43.27,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
