<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/greek#greek-sa'>greek_sa</a>,<a href='https://euroeval.com/datasets/greek#elner'>elner</a>,<a href='https://euroeval.com/datasets/greek#scala-el'>scala_el</a>,<a href='https://euroeval.com/datasets/greek#multi-wiki-qa-el'>multi_wiki_qa_el</a>,greek_sa_version,elner_version,scala_el_version,multi_wiki_qa_el_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.20@@1.20,?,?,200000,✓,✗,79.99 ± 3.83 / 89.96 ± 1.93@@79.99,81.13 ± 1.26 / 54.93 ± 1.06@@81.13,50.37 ± 3.15 / 73.43 ± 1.85@@50.37,61.96 ± 1.03 / 30.47 ± 1.37@@61.96,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.25@@1.25,?,256128.0,1048576,✓,✗,74.16 ± 2.78 / 86.99 ± 1.42@@74.16,70.96 ± 1.08 / 41.28 ± 1.09@@70.96,57.72 ± 1.92 / 78.75 ± 0.98@@57.72,66.00 ± 1.12 / 38.60 ± 1.49@@66.00,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.28@@1.28,?,100256.0,272000,✓,✗,78.16 ± 3.20 / 89.02 ± 1.63@@78.16,74.59 ± 1.87 / 58.76 ± 1.40@@74.59,51.07 ± 3.74 / 73.51 ± 2.10@@51.07,62.55 ± 1.08 / 38.21 ± 0.84@@62.55,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.32@@1.32,?,256128.0,1048576,✓,✗,77.69 ± 2.93 / 88.78 ± 1.50@@77.69,72.71 ± 1.43 / 55.59 ± 1.30@@72.71,53.31 ± 3.44 / 76.55 ± 1.74@@53.31,58.88 ± 1.38 / 25.60 ± 1.31@@58.88,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.35@@1.35,?,256128.0,1048576,✓,✗,74.58 ± 3.63 / 87.21 ± 1.85@@74.58,72.51 ± 1.81 / 50.59 ± 1.19@@72.51,46.74 ± 3.43 / 72.79 ± 1.86@@46.74,65.08 ± 1.10 / 43.36 ± 1.00@@65.08,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.40@@1.40,?,100256.0,272000,✓,✗,72.33 ± 3.76 / 86.10 ± 1.89@@72.33,80.71 ± 2.03 / 55.52 ± 1.41@@80.71,35.79 ± 2.61 / 64.74 ± 1.71@@35.79,63.94 ± 1.72 / 35.68 ± 1.45@@63.94,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.41@@1.41,?,?,1047576,✓,✗,80.50 ± 3.00 / 90.19 ± 1.55@@80.50,55.46 ± 1.55 / 37.67 ± 1.23@@55.46,57.62 ± 2.04 / 78.68 ± 1.02@@57.62,60.56 ± 1.27 / 27.91 ± 0.97@@60.56,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.47@@1.47,?,?,1047576,✓,✗,76.01 ± 3.55 / 87.95 ± 1.77@@76.01,60.71 ± 1.36 / 38.86 ± 0.72@@60.71,48.90 ± 1.60 / 74.36 ± 0.80@@48.90,64.19 ± 0.96 / 36.29 ± 1.02@@64.19,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.51@@1.51,?,256128.0,1048576,✓,✗,74.64 ± 3.71 / 87.29 ± 1.86@@74.64,52.71 ± 2.14 / 31.37 ± 1.42@@52.71,50.38 ± 4.38 / 75.11 ± 2.21@@50.38,64.16 ± 1.01 / 35.72 ± 1.14@@64.16,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.51@@1.51,?,256128.0,1048576,✓,✗,72.19 ± 2.91 / 86.00 ± 1.50@@72.19,67.14 ± 1.00 / 47.43 ± 1.21@@67.14,45.28 ± 2.27 / 71.67 ± 1.24@@45.28,63.86 ± 1.14 / 37.41 ± 1.20@@63.86,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.52@@1.52,7849978192.0,262400.0,8192,✓,✗,77.23 ± 1.36 / 87.98 ± 0.78@@77.23,69.84 ± 0.83 / 53.26 ± 2.13@@69.84,35.52 ± 3.31 / 64.89 ± 2.49@@35.52,61.04 ± 1.60 / 32.65 ± 1.53@@61.04,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
