<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/icelandic#hotter-and-colder-sentiment'>hotter_and_colder_sentiment</a>,<a href='https://euroeval.com/datasets/icelandic#mim-gold-ner'>mim_gold_ner</a>,<a href='https://euroeval.com/datasets/icelandic#scala-is'>scala_is</a>,<a href='https://euroeval.com/datasets/icelandic#nqii'>nqii</a>,<a href='https://euroeval.com/datasets/icelandic#rrn'>rrn</a>,<a href='https://euroeval.com/datasets/icelandic#icelandic-knowledge'>icelandic_knowledge</a>,<a href='https://euroeval.com/datasets/icelandic#winogrande-is'>winogrande_is</a>,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,icelandic_knowledge_version,winogrande_is_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.26@@1.26,0.02,?,256128.0,1048576.0,✓,✗,✗,✓,65.21 ± 2.25 / 73.74 ± 1.80@@65.21,75.87 ± 2.35 / 60.55 ± 2.12@@75.87,69.88 ± 2.83 / 84.77 ± 1.40@@69.88,52.42 ± 0.85 / 29.42 ± 0.92@@52.42,37.72 ± 0.22 / 41.48 ± 0.24@@37.72,85.17 ± 2.19 / 88.91 ± 1.61@@85.17,89.84 ± 1.68 / 95.16 ± 0.75@@89.84,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.51@@1.51,94.31,?,256128.0,1048576.0,✓,✗,✗,✓,60.14 ± 2.76 / 70.25 ± 2.00@@60.14,77.08 ± 1.87 / 56.68 ± 1.99@@77.08,56.16 ± 2.17 / 76.00 ± 1.27@@56.16,46.43 ± 1.15 / 23.47 ± 1.14@@46.43,37.06 ± 0.22 / 41.48 ± 0.23@@37.06,84.49 ± 1.90 / 87.89 ± 1.60@@84.49,80.04 ± 2.32 / 90.23 ± 1.28@@80.04,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.56@@1.56,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.44 ± 3.66 / 66.90 ± 2.55@@58.44,74.50 ± 2.04 / 46.33 ± 1.53@@74.50,61.88 ± 2.21 / 80.76 ± 1.08@@61.88,46.43 ± 1.15 / 23.47 ± 1.14@@46.43,37.55 ± 0.26 / 40.92 ± 0.28@@37.55,79.84 ± 2.16 / 84.61 ± 1.66@@79.84,74.26 ± 2.67 / 87.27 ± 1.35@@74.26,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.60@@1.60,89.05,?,256128.0,1048576.0,✓,✗,✗,✓,63.57 ± 1.42 / 72.91 ± 1.05@@63.57,74.85 ± 1.19 / 47.94 ± 0.92@@74.85,59.17 ± 1.80 / 79.38 ± 0.94@@59.17,46.56 ± 0.66 / 23.58 ± 0.48@@46.56,37.58 ± 0.09 / 41.95 ± 0.11@@37.58,66.93 ± 1.38 / 74.77 ± 1.09@@66.93,68.85 ± 2.18 / 84.61 ± 1.09@@68.85,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.66@@1.66,?,?,?,?,✓,✗,✗,✓,54.39 ± 3.55 / 65.51 ± 2.43@@54.39,86.91 ± 1.51 / 78.21 ± 2.20@@86.91,56.61 ± 2.99 / 77.00 ± 1.65@@56.61,49.15 ± 1.05 / 26.93 ± 1.30@@49.15,36.74 ± 0.24 / 41.09 ± 0.27@@36.74,52.78 ± 3.70 / 64.77 ± 2.67@@52.78,88.10 ± 2.00 / 94.22 ± 1.00@@88.10,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.67@@1.67,20.85,?,?,400000.0,✓,✗,✗,✓,58.17 ± 1.53 / 69.88 ± 1.19@@58.17,84.04 ± 0.84 / 68.29 ± 1.16@@84.04,47.60 ± 1.31 / 72.19 ± 0.76@@47.60,49.35 ± 0.55 / 28.59 ± 0.68@@49.35,37.22 ± 0.14 / 41.53 ± 0.15@@37.22,68.43 ± 1.27 / 76.41 ± 0.95@@68.43,78.79 ± 1.22 / 89.84 ± 0.63@@78.79,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.70@@1.70,18.25,?,?,400000.0,✓,✗,✗,✓,61.64 ± 1.48 / 72.61 ± 1.10@@61.64,83.64 ± 0.82 / 68.85 ± 1.01@@83.64,48.04 ± 1.49 / 72.03 ± 0.84@@48.04,50.82 ± 0.51 / 30.25 ± 0.68@@50.82,36.79 ± 0.11 / 41.15 ± 0.13@@36.79,60.49 ± 1.83 / 70.31 ± 1.36@@60.49,75.47 ± 1.34 / 87.97 ± 0.66@@75.47,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.79@@1.79,14.35,?,?,400000.0,✓,✗,✗,✓,57.90 ± 1.29 / 70.22 ± 1.09@@57.90,79.86 ± 0.90 / 59.78 ± 0.96@@79.86,48.72 ± 1.32 / 71.40 ± 0.93@@48.72,50.11 ± 0.47 / 29.39 ± 0.63@@50.11,36.48 ± 0.11 / 41.07 ± 0.13@@36.48,61.10 ± 1.97 / 70.70 ± 1.47@@61.10,69.28 ± 1.85 / 85.00 ± 0.97@@69.28,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.82@@1.82,43.92,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,56.98 ± 3.01 / 69.42 ± 2.25@@56.98,73.14 ± 2.67 / 53.88 ± 4.95@@73.14,43.50 ± 5.03 / 69.69 ± 3.16@@43.50,61.05 ± 2.21 / 32.46 ± 2.71@@61.05,39.69 ± 0.11 / 42.27 ± 0.15@@39.69,44.40 ± 5.94 / 58.59 ± 4.18@@44.40,74.38 ± 3.19 / 87.27 ± 1.83@@74.38,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
