<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/icelandic#hotter-and-colder-sentiment'>hotter_and_colder_sentiment</a>,<a href='https://euroeval.com/datasets/icelandic#mim-gold-ner'>mim_gold_ner</a>,<a href='https://euroeval.com/datasets/icelandic#scala-is'>scala_is</a>,<a href='https://euroeval.com/datasets/icelandic#nqii'>nqii</a>,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.34@@1.34,?,256128.0,1048576.0,✓,✗,✗,✓,65.21 ± 2.25 / 73.74 ± 1.80@@65.21,75.87 ± 2.35 / 60.55 ± 2.12@@75.87,69.88 ± 2.83 / 84.77 ± 1.40@@69.88,52.42 ± 0.85 / 29.42 ± 0.92@@52.42,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.48@@1.48,?,100256.0,272000.0,✓,✗,✗,✓,58.07 ± 2.10 / 67.27 ± 1.57@@58.07,85.47 ± 1.23 / 61.12 ± 2.48@@85.47,59.65 ± 4.33 / 78.65 ± 2.35@@59.65,49.99 ± 1.12 / 29.14 ± 1.11@@49.99,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.50@@1.50,?,100256.0,272000.0,✓,✗,✗,✓,58.87 ± 2.28 / 67.92 ± 1.30@@58.87,84.43 ± 1.71 / 62.47 ± 2.36@@84.43,57.81 ± 4.60 / 77.00 ± 2.52@@57.81,49.34 ± 1.10 / 29.52 ± 1.18@@49.34,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.54@@1.54,?,256128.0,1048576.0,✓,✗,✗,✓,63.57 ± 1.42 / 72.91 ± 1.05@@63.57,74.85 ± 1.19 / 47.94 ± 0.92@@74.85,59.17 ± 1.80 / 79.38 ± 0.94@@59.17,46.56 ± 0.66 / 23.58 ± 0.48@@46.56,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,?,✓,✗,✗,✓,54.39 ± 3.55 / 65.51 ± 2.43@@54.39,86.91 ± 1.51 / 78.21 ± 2.20@@86.91,56.61 ± 2.99 / 77.00 ± 1.65@@56.61,49.15 ± 1.05 / 26.93 ± 1.30@@49.15,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.61@@1.61,?,?,400000.0,✓,✗,✗,✓,61.64 ± 1.48 / 72.61 ± 1.10@@61.64,83.64 ± 0.82 / 68.85 ± 1.01@@83.64,48.04 ± 1.49 / 72.03 ± 0.84@@48.04,50.82 ± 0.51 / 30.25 ± 0.68@@50.82,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.65@@1.65,?,256128.0,1048576.0,✓,✗,✗,✓,58.44 ± 3.66 / 66.90 ± 2.55@@58.44,74.50 ± 2.04 / 46.33 ± 1.53@@74.50,61.88 ± 2.21 / 80.76 ± 1.08@@61.88,46.43 ± 1.15 / 23.47 ± 1.14@@46.43,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.66@@1.66,?,?,200000.0,✓,✗,✗,✓,57.76 ± 2.47 / 69.67 ± 1.60@@57.76,69.99 ± 1.94 / 51.18 ± 1.36@@69.99,62.13 ± 3.12 / 80.62 ± 1.46@@62.13,48.51 ± 1.37 / 28.22 ± 1.53@@48.51,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.67@@1.67,?,256128.0,1048576.0,✓,✗,✗,✓,60.14 ± 2.76 / 70.25 ± 2.00@@60.14,77.08 ± 1.87 / 56.68 ± 1.99@@77.08,56.16 ± 2.17 / 76.00 ± 1.27@@56.16,46.43 ± 1.15 / 23.47 ± 1.14@@46.43,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.70@@1.70,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,56.98 ± 3.01 / 69.42 ± 2.25@@56.98,73.14 ± 2.67 / 53.88 ± 4.95@@73.14,43.50 ± 5.03 / 69.69 ± 3.16@@43.50,61.05 ± 2.21 / 32.46 ± 2.71@@61.05,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.70@@1.70,?,?,200000.0,✓,✗,✗,✓,58.74 ± 2.43 / 69.36 ± 1.51@@58.74,78.07 ± 2.17 / 56.75 ± 2.20@@78.07,55.32 ± 4.10 / 76.86 ± 2.30@@55.32,45.74 ± 1.09 / 27.23 ± 1.12@@45.74,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.72@@1.72,?,?,400000.0,✓,✗,✗,✓,57.90 ± 1.29 / 70.22 ± 1.09@@57.90,79.86 ± 0.90 / 59.78 ± 0.96@@79.86,48.72 ± 1.32 / 71.40 ± 0.93@@48.72,50.11 ± 0.47 / 29.39 ± 0.63@@50.11,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.73@@1.73,?,?,400000.0,✓,✗,✗,✓,58.17 ± 1.53 / 69.88 ± 1.19@@58.17,84.04 ± 0.84 / 68.29 ± 1.16@@84.04,47.60 ± 1.31 / 72.19 ± 0.76@@47.60,49.35 ± 0.55 / 28.59 ± 0.68@@49.35,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.81@@1.81,?,256128.0,1048576.0,✓,✗,✗,✓,57.17 ± 2.10 / 65.29 ± 1.69@@57.17,63.31 ± 1.43 / 43.14 ± 1.43@@63.31,53.03 ± 2.82 / 76.43 ± 1.40@@53.03,49.50 ± 1.01 / 23.78 ± 0.74@@49.50,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.82@@1.82,?,256128.0,1048576.0,✓,✗,✗,✓,51.59 ± 2.31 / 60.97 ± 1.66@@51.59,74.90 ± 1.92 / 53.08 ± 1.85@@74.90,53.96 ± 2.02 / 76.01 ± 0.93@@53.96,46.22 ± 0.96 / 27.04 ± 0.96@@46.22,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.83@@1.83,?,?,?,✓,✗,✗,✓,60.78 ± 3.19 / 71.34 ± 2.41@@60.78,64.71 ± 2.63 / 36.44 ± 1.18@@64.71,47.68 ± 3.36 / 73.50 ± 1.73@@47.68,50.93 ± 0.86 / 24.39 ± 1.21@@50.93,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.83@@1.83,?,?,200000.0,✓,✗,✗,✓,50.35 ± 3.05 / 65.18 ± 2.00@@50.35,72.86 ± 1.84 / 51.88 ± 2.16@@72.86,53.35 ± 2.16 / 73.00 ± 1.32@@53.35,47.12 ± 1.06 / 24.59 ± 1.32@@47.12,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.86@@1.86,?,256128.0,1048576.0,✓,✗,✗,✓,56.90 ± 1.82 / 65.94 ± 1.49@@56.90,72.59 ± 1.54 / 52.60 ± 1.90@@72.59,46.78 ± 3.79 / 72.72 ± 1.81@@46.78,48.69 ± 1.02 / 29.39 ± 0.82@@48.69,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.89@@1.89,?,256128.0,1048576.0,✓,✗,✗,✓,59.15 ± 2.54 / 66.93 ± 1.69@@59.15,59.55 ± 2.43 / 37.33 ± 1.42@@59.55,51.46 ± 3.13 / 74.09 ± 1.69@@51.46,50.90 ± 1.04 / 25.99 ± 0.88@@50.90,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.93@@1.93,?,?,400000.0,✓,✗,✗,✓,57.64 ± 1.54 / 69.92 ± 1.20@@57.64,53.57 ± 1.24 / 25.76 ± 0.62@@53.57,47.99 ± 1.59 / 73.90 ± 0.79@@47.99,53.65 ± 0.61 / 32.47 ± 0.63@@53.65,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.93@@1.93,?,100256.0,272000.0,✓,✗,✗,✓,54.22 ± 3.29 / 65.62 ± 2.35@@54.22,69.88 ± 2.41 / 35.46 ± 1.78@@69.88,45.05 ± 3.39 / 71.34 ± 1.79@@45.05,48.68 ± 0.75 / 25.62 ± 0.87@@48.68,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.95@@1.95,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,48.92 ± 1.36 / 61.76 ± 2.52@@48.92,69.61 ± 2.47 / 66.69 ± 2.57@@69.61,35.02 ± 1.69 / 66.11 ± 1.04@@35.02,62.33 ± 4.46 / 34.77 ± 4.17@@62.33,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"xai/grok-3-beta (zero-shot, val)</a>",📝,1.95@@1.95,?,?,131072.0,✓,✗,✗,✓,58.90 ± 2.97 / 70.03 ± 2.27@@58.90,60.58 ± 2.56 / 26.59 ± 1.25@@60.58,46.68 ± 2.88 / 73.21 ± 1.45@@46.68,49.06 ± 1.05 / 21.25 ± 1.29@@49.06,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.96@@1.96,?,?,?,✓,✗,✗,✓,57.96 ± 1.55 / 71.24 ± 1.12@@57.96,69.47 ± 1.04 / 47.35 ± 0.86@@69.47,43.19 ± 1.92 / 71.02 ± 0.94@@43.19,50.02 ± 0.53 / 23.04 ± 0.44@@50.02,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.96@@1.96,?,256128.0,1048576.0,✓,✗,✗,✓,58.32 ± 3.23 / 67.19 ± 2.55@@58.32,59.85 ± 1.64 / 34.59 ± 1.79@@59.85,44.64 ± 3.47 / 71.85 ± 1.58@@44.64,50.60 ± 0.80 / 27.41 ± 0.74@@50.60,15.11.0@@151100,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
