<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.23@@1.23,?,256128.0,1048576.0,✓,✗,75.60 ± 1.55 / 81.93 ± 1.32@@75.60,73.24 ± 1.25 / 53.53 ± 1.50@@73.24,80.08 ± 2.20 / 89.72 ± 1.13@@80.08,73.99 ± 1.04 / 49.69 ± 1.09@@73.99,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.45@@1.45,?,256128.0,1048576.0,✓,✗,69.78 ± 1.53 / 77.37 ± 1.39@@69.78,65.56 ± 1.61 / 39.49 ± 0.97@@65.56,77.58 ± 2.01 / 88.69 ± 1.02@@77.58,67.41 ± 0.96 / 32.27 ± 1.17@@67.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.45@@1.45,?,256128.0,1048576.0,✓,✗,71.82 ± 1.80 / 79.30 ± 1.35@@71.82,71.12 ± 1.49 / 45.49 ± 1.66@@71.12,74.07 ± 1.88 / 85.80 ± 1.06@@74.07,67.41 ± 0.96 / 32.27 ± 1.17@@67.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.45@@1.45,70553706496.0,128256.0,131072.0,✓,✗,65.73 ± 1.06 / 74.91 ± 1.14@@65.73,82.88 ± 0.98 / 70.41 ± 1.11@@82.88,64.33 ± 2.66 / 81.70 ± 1.50@@64.33,74.66 ± 2.05 / 55.24 ± 3.71@@74.66,16.5.0.dev0@@160500,15.9.1@@150901,16.5.0.dev0@@160500,15.9.1@@150901
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.65@@1.65,24011361280.0,131072.0,?,✓,✗,62.81 ± 2.42 / 74.64 ± 1.87@@62.81,80.89 ± 1.50 / 67.98 ± 1.67@@80.89,55.69 ± 4.47 / 76.90 ± 2.40@@55.69,74.25 ± 3.06 / 54.69 ± 3.45@@74.25,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.74@@1.74,?,?,?,✓,✗,65.32 ± 1.85 / 75.92 ± 1.21@@65.32,65.43 ± 2.03 / 42.67 ± 1.47@@65.43,66.85 ± 2.44 / 83.09 ± 1.24@@66.85,68.41 ± 1.03 / 34.55 ± 1.38@@68.41,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.76@@1.76,235107904512.0,151936.0,262144.0,✓,✗,67.62 ± 1.30 / 74.75 ± 1.52@@67.62,88.01 ± 0.54 / 65.78 ± 1.87@@88.01,44.35 ± 1.67 / 65.20 ± 1.51@@44.35,71.66 ± 0.94 / 53.21 ± 0.73@@71.66,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.88@@1.88,27432406640.0,262144.0,?,✓,✗,60.17 ± 3.16 / 70.43 ± 3.48@@60.17,65.20 ± 3.17 / 55.94 ± 2.90@@65.20,57.15 ± 5.82 / 77.46 ± 3.78@@57.15,72.87 ± 5.07 / 54.31 ± 4.25@@72.87,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,15.6.1@@150601
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.90@@1.90,24011361280.0,131072.0,?,✓,✗,67.45 ± 1.66 / 76.94 ± 1.87@@67.45,82.60 ± 0.94 / 65.85 ± 1.20@@82.60,35.71 ± 5.08 / 65.72 ± 3.67@@35.71,76.10 ± 1.08 / 57.63 ± 1.95@@76.10,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
