<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/latvian#latvian-twitter-sentiment'>latvian_twitter_sentiment</a>,<a href='https://euroeval.com/datasets/latvian#fullstack-ner-lv'>fullstack_ner_lv</a>,<a href='https://euroeval.com/datasets/latvian#scala-lv'>scala_lv</a>,<a href='https://euroeval.com/datasets/latvian#multi-wiki-qa-lv'>multi_wiki_qa_lv</a>,<a href='https://euroeval.com/datasets/latvian#mmlu-lv'>mmlu_lv</a>,<a href='https://euroeval.com/datasets/latvian#copa-lv'>copa_lv</a>,latvian_twitter_sentiment_version,fullstack_ner_lv_version,scala_lv_version,multi_wiki_qa_lv_version,mmlu_lv_version,copa_lv_version
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.20@@1.20,?,100256.0,272000.0,✓,✗,✗,✓,50.96 ± 3.14 / 64.95 ± 2.14@@50.96,83.90 ± 3.09 / 68.49 ± 2.16@@83.90,50.23 ± 4.67 / 74.68 ± 2.31@@50.23,61.81 ± 1.69 / 38.12 ± 1.26@@61.81,86.70 ± 1.30 / 90.08 ± 1.00@@86.70,91.51 ± 1.59 / 95.79 ± 0.76@@91.51,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.27@@1.27,?,256128.0,1048576.0,✓,✗,✗,✓,50.38 ± 2.70 / 66.94 ± 1.99@@50.38,64.60 ± 4.30 / 52.30 ± 3.06@@64.60,58.10 ± 3.12 / 77.94 ± 1.69@@58.10,65.03 ± 1.30 / 35.79 ± 1.22@@65.03,84.63 ± 1.76 / 88.48 ± 1.32@@84.63,94.71 ± 2.38 / 97.37 ± 1.17@@94.71,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.31@@1.31,?,?,400000.0,✓,✗,✗,✓,56.55 ± 1.35 / 68.95 ± 0.93@@56.55,77.50 ± 1.90 / 69.48 ± 1.41@@77.50,40.49 ± 1.95 / 68.96 ± 1.02@@40.49,62.85 ± 0.65 / 38.12 ± 0.88@@62.85,83.71 ± 0.49 / 87.77 ± 0.39@@83.71,91.59 ± 1.58 / 95.79 ± 0.79@@91.59,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.33@@1.33,?,256128.0,1048576.0,✓,✗,✗,✓,51.78 ± 3.06 / 64.43 ± 2.40@@51.78,62.06 ± 3.37 / 49.29 ± 2.65@@62.06,56.60 ± 4.53 / 77.74 ± 2.23@@56.60,63.03 ± 1.49 / 41.43 ± 1.74@@63.03,83.57 ± 2.08 / 87.77 ± 1.61@@83.57,88.62 ± 3.29 / 94.39 ± 1.60@@88.62,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.34@@1.34,?,?,400000.0,✓,✗,✗,✓,55.98 ± 1.26 / 69.22 ± 0.88@@55.98,72.99 ± 1.95 / 66.21 ± 1.45@@72.99,44.39 ± 1.82 / 71.01 ± 1.03@@44.39,62.41 ± 0.76 / 37.74 ± 0.53@@62.41,84.53 ± 0.66 / 88.48 ± 0.50@@84.53,92.24 ± 0.76 / 96.14 ± 0.35@@92.24,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.35@@1.35,?,256128.0,1048576.0,✓,✗,✗,✓,54.22 ± 1.58 / 68.80 ± 1.09@@54.22,64.30 ± 1.87 / 47.38 ± 1.46@@64.30,52.60 ± 1.95 / 75.84 ± 1.01@@52.60,61.27 ± 0.44 / 36.42 ± 0.37@@61.27,79.95 ± 1.03 / 84.84 ± 0.80@@79.95,92.24 ± 0.76 / 96.14 ± 0.35@@92.24,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.39@@1.39,?,?,400000.0,✓,✗,✗,✓,50.97 ± 1.36 / 66.06 ± 0.90@@50.97,67.97 ± 1.76 / 61.81 ± 1.52@@67.97,47.28 ± 1.99 / 72.16 ± 1.08@@47.28,63.43 ± 0.56 / 37.77 ± 0.82@@63.43,82.84 ± 0.53 / 87.11 ± 0.39@@82.84,91.50 ± 1.25 / 95.79 ± 0.60@@91.50,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,?,✓,✗,✗,✓,43.31 ± 2.99 / 62.12 ± 1.96@@43.31,62.04 ± 3.38 / 45.36 ± 3.29@@62.04,56.85 ± 3.99 / 77.57 ± 2.25@@56.85,65.35 ± 0.95 / 37.55 ± 1.21@@65.35,82.23 ± 2.29 / 86.76 ± 1.72@@82.23,91.23 ± 2.16 / 95.44 ± 1.17@@91.23,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,?,✓,✗,✗,✓,46.90 ± 3.48 / 62.05 ± 2.37@@46.90,76.75 ± 3.85 / 65.58 ± 2.85@@76.75,40.63 ± 3.94 / 69.13 ± 2.08@@40.63,65.26 ± 0.87 / 40.51 ± 1.01@@65.26,87.47 ± 1.37 / 90.66 ± 1.04@@87.47,90.43 ± 4.06 / 95.09 ± 2.16@@90.43,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
