<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/lithuanian#atsiliepimai'>atsiliepimai</a>,<a href='https://euroeval.com/datasets/lithuanian#wikiann-lt'>wikiann_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#scala-lt'>scala_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#multi-wiki-qa-lt'>multi_wiki_qa_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#lrytas'>lrytas</a>,<a href='https://euroeval.com/datasets/lithuanian#lt-history'>lt_history</a>,<a href='https://euroeval.com/datasets/lithuanian#winogrande-lt'>winogrande_lt</a>,atsiliepimai_version,wikiann_lt_version,scala_lt_version,multi_wiki_qa_lt_version,lrytas_version,lt_history_version,winogrande_lt_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.31@@1.31,?,256128.0,1048576.0,✓,✗,46.35 ± 1.79 / 55.07 ± 1.60@@46.35,65.55 ± 2.42 / 65.55 ± 2.42@@65.55,64.96 ± 2.23 / 80.52 ± 1.55@@64.96,59.18 ± 1.03 / 34.73 ± 1.56@@59.18,35.19 ± 0.47 / 37.89 ± 0.49@@35.19,82.35 ± 2.64 / 86.25 ± 2.45@@82.35,80.03 ± 2.12 / 89.69 ± 1.22@@80.03,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.47@@1.47,?,256128.0,1048576.0,✓,✗,45.33 ± 1.81 / 52.43 ± 1.79@@45.33,63.34 ± 2.30 / 63.34 ± 2.30@@63.34,57.82 ± 3.29 / 75.64 ± 1.93@@57.82,52.91 ± 1.21 / 25.23 ± 1.42@@52.91,33.33 ± 0.35 / 36.99 ± 0.40@@33.33,84.93 ± 3.23 / 88.12 ± 2.86@@84.93,73.64 ± 3.94 / 87.50 ± 1.94@@73.64,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.48@@1.48,?,256128.0,1048576.0,✓,✗,43.73 ± 1.84 / 50.31 ± 1.72@@43.73,64.89 ± 2.04 / 64.89 ± 2.04@@64.89,60.29 ± 2.11 / 79.26 ± 1.26@@60.29,52.91 ± 1.21 / 25.23 ± 1.42@@52.91,34.13 ± 0.44 / 36.71 ± 0.47@@34.13,84.77 ± 3.27 / 88.12 ± 2.86@@84.77,71.90 ± 3.24 / 86.17 ± 1.60@@71.90,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.51@@1.51,?,?,?,✓,✗,47.92 ± 0.96 / 56.30 ± 0.89@@47.92,61.15 ± 1.13 / 61.15 ± 1.13@@61.15,59.11 ± 1.51 / 78.53 ± 0.84@@59.11,56.23 ± 0.78 / 28.20 ± 0.70@@56.23,32.94 ± 0.15 / 36.05 ± 0.17@@32.94,77.16 ± 1.74 / 82.81 ± 1.42@@77.16,72.67 ± 1.51 / 85.86 ± 0.79@@72.67,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.55@@1.55,?,?,400000.0,✓,✗,41.34 ± 0.97 / 46.17 ± 0.80@@41.34,68.36 ± 1.31 / 68.36 ± 1.31@@68.36,53.61 ± 1.85 / 76.46 ± 0.90@@53.61,55.06 ± 0.41 / 33.02 ± 0.54@@55.06,33.91 ± 0.20 / 36.43 ± 0.21@@33.91,84.70 ± 1.68 / 88.12 ± 1.46@@84.70,57.75 ± 2.28 / 79.77 ± 1.11@@57.75,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.59@@1.59,?,?,?,✓,✗,45.01 ± 2.14 / 52.41 ± 1.96@@45.01,69.92 ± 1.93 / 69.92 ± 1.93@@69.92,40.48 ± 3.36 / 70.10 ± 1.67@@40.48,56.22 ± 1.19 / 27.41 ± 1.48@@56.22,32.75 ± 0.30 / 35.96 ± 0.34@@32.75,68.73 ± 7.61 / 77.19 ± 5.63@@68.73,85.65 ± 3.61 / 93.36 ± 1.67@@85.65,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4'>openai/gpt-5.4-2026-03-05#none (zero-shot, val)</a>",🤔,1.60@@1.60,?,?,1050000.0,✓,✗,45.59 ± 1.07 / 54.20 ± 0.96@@45.59,66.28 ± 1.23 / 66.28 ± 1.23@@66.28,51.61 ± 1.45 / 75.64 ± 0.78@@51.61,64.33 ± 0.60 / 42.31 ± 0.86@@64.33,33.65 ± 0.18 / 36.92 ± 0.19@@33.65,78.32 ± 1.62 / 83.44 ± 1.32@@78.32,57.30 ± 1.69 / 76.88 ± 0.87@@57.30,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.60@@1.60,?,256128.0,1048576.0,✓,✗,46.47 ± 1.03 / 53.32 ± 0.92@@46.47,64.62 ± 1.27 / 64.62 ± 1.27@@64.62,52.41 ± 1.97 / 73.97 ± 1.18@@52.41,56.45 ± 0.50 / 29.88 ± 0.55@@56.45,33.51 ± 0.19 / 36.74 ± 0.21@@33.51,79.91 ± 2.08 / 84.69 ± 1.64@@79.91,60.42 ± 1.88 / 80.78 ± 0.99@@60.42,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.62@@1.62,?,100256.0,272000.0,✓,✗,41.74 ± 1.64 / 45.98 ± 1.45@@41.74,64.90 ± 1.69 / 64.90 ± 1.69@@64.90,49.84 ± 4.07 / 74.28 ± 2.06@@49.84,56.08 ± 0.74 / 32.23 ± 1.45@@56.08,31.88 ± 0.42 / 35.20 ± 0.46@@31.88,80.49 ± 4.21 / 85.31 ± 3.17@@80.49,72.96 ± 2.89 / 86.80 ± 1.36@@72.96,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
