<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/lithuanian#lithuanian-emotions'>lithuanian_emotions</a>,<a href='https://euroeval.com/datasets/lithuanian#wikiann-lt'>wikiann_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#scala-lt'>scala_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#multi-wiki-qa-lt'>multi_wiki_qa_lt</a>,lithuanian_emotions_version,wikiann_lt_version,scala_lt_version,multi_wiki_qa_lt_version
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,2.25@@2.25,235107904512.0,151936.0,262144.0,✓,✗,12.07 ± 1.33 / 41.46 ± 0.91@@12.07,66.15 ± 0.95 / 66.15 ± 0.95@@66.15,47.37 ± 1.51 / 73.49 ± 0.93@@47.37,63.15 ± 1.33 / 40.29 ± 1.49@@63.15,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,2.28@@2.28,?,100256.0,272000.0,✓,✗,8.27 ± 2.76 / 36.97 ± 1.82@@8.27,67.12 ± 2.01 / 67.12 ± 2.01@@67.12,56.77 ± 2.25 / 78.27 ± 1.08@@56.77,54.42 ± 0.98 / 32.04 ± 1.37@@54.42,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.28@@2.28,24011361280.0,131072.0,8192.0,✓,✗,20.82 ± 2.69 / 46.61 ± 1.38@@20.82,67.61 ± 0.90 / 67.61 ± 0.90@@67.61,30.76 ± 1.63 / 64.28 ± 1.01@@30.76,73.45 ± 2.48 / 53.30 ± 3.34@@73.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.28@@2.28,561192082.0,250002.0,512.0,✓,✗,51.30 ± 2.02 / 63.56 ± 3.25@@51.30,77.90 ± 1.00 / 77.90 ± 1.00@@77.90,14.94 ± 8.89 / 52.02 ± 7.19@@14.94,34.53 ± 1.34 / 23.75 ± 1.54@@34.53,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.29@@2.29,?,100256.0,272000.0,✓,✗,12.33 ± 3.23 / 40.24 ± 2.15@@12.33,64.90 ± 1.69 / 64.90 ± 1.69@@64.90,49.84 ± 4.07 / 74.28 ± 2.06@@49.84,56.08 ± 0.74 / 32.23 ± 1.45@@56.08,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.32@@2.32,278225673.0,251000.0,512.0,✓,✗,49.87 ± 1.22 / 58.58 ± 2.57@@49.87,72.43 ± 1.23 / 72.43 ± 1.23@@72.43,25.10 ± 11.67 / 55.07 ± 9.40@@25.10,17.78 ± 2.04 / 10.01 ± 1.71@@17.78,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,2.33@@2.33,24011361280.0,131072.0,8192.0,✓,✗,19.17 ± 2.19 / 44.63 ± 2.03@@19.17,65.55 ± 1.04 / 65.55 ± 1.04@@65.55,28.82 ± 1.00 / 63.16 ± 0.86@@28.82,73.58 ± 2.16 / 54.54 ± 3.13@@73.58,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.33@@2.33,72706203648.0,152064.0,32768.0,✓,✗,19.26 ± 1.06 / 45.34 ± 0.64@@19.26,63.92 ± 0.61 / 63.92 ± 0.61@@63.92,32.32 ± 1.29 / 64.88 ± 0.98@@32.32,70.95 ± 1.07 / 50.19 ± 1.21@@70.95,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,2.34@@2.34,?,?,200000.0,✓,✗,8.43 ± 2.39 / 37.11 ± 1.58@@8.43,57.99 ± 1.83 / 57.99 ± 1.83@@57.99,54.31 ± 2.53 / 75.98 ± 1.50@@54.31,59.14 ± 1.19 / 38.69 ± 1.47@@59.14,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.36@@2.36,470927360.0,501153.0,512.0,✓,✗,59.28 ± 1.95 / 71.03 ± 2.21@@59.28,79.94 ± 0.96 / 79.94 ± 0.96@@79.94,3.15 ± 3.57 / 50.83 ± 1.86@@3.15,30.74 ± 1.50 / 20.41 ± 1.60@@30.74,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,2.39@@2.39,81324862720.0,151936.0,262144.0,✓,✗,12.11 ± 1.76 / 41.46 ± 1.19@@12.11,66.42 ± 1.28 / 66.42 ± 1.28@@66.42,39.03 ± 1.09 / 69.12 ± 0.60@@39.03,64.44 ± 0.95 / 42.11 ± 1.13@@64.44,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,2.40@@2.40,?,?,1047576.0,✓,✗,11.19 ± 3.09 / 39.23 ± 2.17@@11.19,62.58 ± 1.49 / 62.58 ± 1.49@@62.58,46.15 ± 4.36 / 69.95 ± 2.71@@46.15,53.28 ± 0.86 / 26.57 ± 1.34@@53.28,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
