<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.20@@1.20,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.13@@1.13,1.28@@1.28,1.20@@1.20
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.21@@1.21,?,256128.0,1048576.0,✓,✗,✗,✓,1.16@@1.16,1.24@@1.24,1.22@@1.22
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.29@@1.29,?,?,?,✓,✗,✗,✓,1.21@@1.21,1.41@@1.41,1.25@@1.25
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.31@@1.31,?,100256.0,272000.0,✓,✗,✗,✓,1.18@@1.18,1.41@@1.41,1.33@@1.33
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.32@@1.32,?,256128.0,1048576.0,✓,✗,✗,✓,1.18@@1.18,1.40@@1.40,1.38@@1.38
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.32@@1.32,?,?,400000.0,✓,✗,✗,✓,1.24@@1.24,1.41@@1.41,1.30@@1.30
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.32@@1.32,?,256128.0,1048576.0,✓,✗,✗,✓,1.27@@1.27,1.38@@1.38,1.32@@1.32
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.33@@1.33,?,?,400000.0,✓,✗,✗,✓,1.27@@1.27,1.45@@1.45,1.28@@1.28
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.35@@1.35,?,?,?,✓,✗,✗,✓,1.32@@1.32,1.45@@1.45,1.29@@1.29
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.36@@1.36,?,?,400000.0,✓,✗,✗,✓,1.25@@1.25,1.53@@1.53,1.30@@1.30
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.36@@1.36,?,256128.0,1048576.0,✓,✗,✗,✓,1.17@@1.17,1.45@@1.45,1.46@@1.46
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.37@@1.37,?,?,400000.0,✓,✗,✗,✓,1.31@@1.31,1.49@@1.49,1.32@@1.32
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.37@@1.37,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,1.40@@1.40,1.45@@1.45,1.25@@1.25
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.40@@1.40,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,1.46@@1.46,1.43@@1.43,1.30@@1.30
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.41@@1.41,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,1.37@@1.37,1.49@@1.49,1.36@@1.36
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.41@@1.41,?,?,200000.0,✓,✗,✗,✓,1.29@@1.29,1.50@@1.50,1.44@@1.44
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,1.42@@1.42,1.50@@1.50,1.42@@1.42
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.45@@1.45,?,256128.0,1048576.0,✓,✗,✗,✓,1.37@@1.37,1.63@@1.63,1.36@@1.36
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.45@@1.45,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.45@@1.45,1.58@@1.58,1.31@@1.31
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.45@@1.45,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.45@@1.45,1.56@@1.56,1.36@@1.36
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.46@@1.46,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,1.43@@1.43,1.54@@1.54,1.41@@1.41
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.46@@1.46,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,1.38@@1.38,1.59@@1.59,1.41@@1.41
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.47@@1.47,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.48@@1.48,1.55@@1.55,1.37@@1.37
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.47@@1.47,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,1.41@@1.41,1.58@@1.58,1.41@@1.41
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.47@@1.47,?,256128.0,1048576.0,✓,✗,✗,✓,1.44@@1.44,1.54@@1.54,1.44@@1.44
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.48@@1.48,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.43@@1.43,1.55@@1.55,1.46@@1.46
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.48@@1.48,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,1.45@@1.45,1.57@@1.57,1.41@@1.41
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.49@@1.49,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,1.44@@1.44,1.68@@1.68,1.37@@1.37
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.49@@1.49,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,1.45@@1.45,1.63@@1.63,1.40@@1.40
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.51@@1.51,?,?,1047576.0,✓,✗,✗,✓,1.37@@1.37,1.65@@1.65,1.49@@1.49
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.52@@1.52,?,256128.0,1048576.0,✓,✗,✗,✓,1.42@@1.42,1.68@@1.68,1.46@@1.46
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.53@@1.53,?,?,131072.0,✓,✗,✗,✓,1.46@@1.46,1.71@@1.71,1.42@@1.42
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.55@@1.55,?,100256.0,272000.0,✓,✗,✗,✓,1.54@@1.54,1.63@@1.63,1.47@@1.47
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.55@@1.55,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,1.46@@1.46,1.68@@1.68,1.52@@1.52
<a href='https://hf.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,1.56@@1.56,355412057.0,50265.0,512.0,✓,✗,(✓),✗,1.65@@1.65,1.45@@1.45,1.57@@1.57
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.57@@1.57,?,?,400000.0,✓,✗,✗,✓,1.42@@1.42,1.68@@1.68,1.61@@1.61
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.59@@1.59,?,256128.0,1048576.0,✓,✗,✗,✓,1.55@@1.55,1.64@@1.64,1.58@@1.58
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.59@@1.59,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.54@@1.54,1.69@@1.69,1.56@@1.56
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.60@@1.60,?,100256.0,272000.0,✓,✗,✗,✓,1.49@@1.49,1.77@@1.77,1.55@@1.55
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,1.60@@1.60,108641793536.0,200000.0,?,✓,✗,(✓),✓,1.57@@1.57,1.68@@1.68,1.55@@1.55
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.61@@1.61,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,1.65@@1.65,1.68@@1.68,1.50@@1.50
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,1.63@@1.63,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,1.60@@1.60,1.63@@1.63,1.65@@1.65
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.63@@1.63,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.68@@1.68,1.69@@1.69,1.53@@1.53
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.63@@1.63,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,1.58@@1.58,1.73@@1.73,1.58@@1.58
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.64@@1.64,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,1.66@@1.66,1.69@@1.69,1.58@@1.58
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.66@@1.66,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,1.58@@1.58,1.77@@1.77,1.62@@1.62
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.66@@1.66,?,?,1047576.0,✓,✗,✗,✓,1.54@@1.54,1.89@@1.89,1.56@@1.56
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.67@@1.67,?,?,200000.0,✓,✗,✗,✓,1.54@@1.54,1.88@@1.88,1.60@@1.60
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.67@@1.67,?,?,400000.0,✓,✗,✗,✓,1.62@@1.62,1.80@@1.80,1.60@@1.60
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,1.67@@1.67,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,1.64@@1.64,1.71@@1.71,1.65@@1.65
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.68@@1.68,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,1.59@@1.59,1.94@@1.94,1.52@@1.52
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.71@@1.71,?,?,400000.0,✓,✗,✗,✓,1.68@@1.68,1.86@@1.86,1.59@@1.59
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.71@@1.71,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.65@@1.65,1.89@@1.89,1.60@@1.60
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.72@@1.72,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,1.65@@1.65,1.88@@1.88,1.63@@1.63
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.73@@1.73,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,1.74@@1.74,1.79@@1.79,1.66@@1.66
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,1.76@@1.76,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,1.63@@1.63,2.05@@2.05,1.61@@1.61
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.77@@1.77,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,1.69@@1.69,1.97@@1.97,1.66@@1.66
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.77@@1.77,?,?,400000.0,✓,✗,✗,✓,1.65@@1.65,1.94@@1.94,1.72@@1.72
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.77@@1.77,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,1.75@@1.75,1.85@@1.85,1.72@@1.72
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.79@@1.79,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,1.64@@1.64,1.96@@1.96,1.77@@1.77
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.79@@1.79,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,1.77@@1.77,1.95@@1.95,1.66@@1.66
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.80@@1.80,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,1.72@@1.72,1.88@@1.88,1.81@@1.81
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.80@@1.80,?,256128.0,1048576.0,✓,✗,✗,✓,1.77@@1.77,2.00@@2.00,1.64@@1.64
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,1.81@@1.81,407389520.0,50000.0,512.0,✓,✗,(✓),✗,1.73@@1.73,1.70@@1.70,2.00@@2.00
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.84@@1.84,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,1.75@@1.75,1.96@@1.96,1.80@@1.80
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,1.85@@1.85,?,128000.0,4096.0,✓,✗,(✓),✓,1.87@@1.87,2.08@@2.08,1.60@@1.60
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,1.85@@1.85,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,1.85@@1.85,1.91@@1.91,1.79@@1.79
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.86@@1.86,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,1.82@@1.82,1.93@@1.93,1.82@@1.82
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.86@@1.86,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.84@@1.84,1.98@@1.98,1.77@@1.77
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,1.86@@1.86,124498007.0,50005.0,514.0,✓,✗,(✓),✓,2.04@@2.04,1.71@@1.71,1.84@@1.84
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,1.87@@1.87,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,1.81@@1.81,2.05@@2.05,1.76@@1.76
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.87@@1.87,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,1.96@@1.96,1.95@@1.95,1.70@@1.70
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.88@@1.88,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.82@@1.82,2.12@@2.12,1.70@@1.70
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,1.90@@1.90,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,1.69@@1.69,2.36@@2.36,1.64@@1.64
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,1.90@@1.90,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.76@@1.76,2.13@@2.13,1.80@@1.80
