<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/norwegian#norec'>norec</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nb'>norne_nb</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nn'>norne_nn</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nb'>scala_nb</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nn'>scala_nn</a>,<a href='https://euroeval.com/datasets/norwegian#norquad'>norquad</a>,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,1.23@@1.23,354406402.0,50000.0,512.0,✓,✗,(✓),✗,59.99 ± 1.92 / 71.98 ± 1.98@@59.99,87.85 ± 0.98 / 88.74 ± 0.88@@87.85,83.74 ± 1.61 / 85.23 ± 1.07@@83.74,71.75 ± 7.79 / 84.91 ± 4.26@@71.75,72.24 ± 2.61 / 85.58 ± 1.48@@72.24,79.10 ± 1.02 / 63.93 ± 1.52@@79.10,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.24@@1.24,?,256128.0,1048576.0,✓,✗,✗,✓,63.90 ± 2.34 / 74.24 ± 1.77@@63.90,79.49 ± 1.84 / 67.98 ± 3.20@@79.49,76.38 ± 2.92 / 66.08 ± 2.67@@76.38,75.23 ± 2.21 / 87.41 ± 1.13@@75.23,79.31 ± 2.22 / 89.50 ± 1.13@@79.31,75.22 ± 0.44 / 50.20 ± 1.37@@75.22,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.28@@1.28,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,65.09 ± 1.30 / 74.51 ± 1.02@@65.09,81.87 ± 0.59 / 75.83 ± 1.31@@81.87,84.64 ± 0.73 / 78.51 ± 0.69@@84.64,68.93 ± 1.43 / 84.38 ± 0.72@@68.93,70.77 ± 0.85 / 85.28 ± 0.41@@70.77,73.14 ± 0.39 / 46.47 ± 0.66@@73.14,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.32@@1.32,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,59.29 ± 1.45 / 70.98 ± 1.31@@59.29,77.65 ± 1.61 / 75.25 ± 2.16@@77.65,75.94 ± 1.30 / 73.63 ± 1.98@@75.94,73.89 ± 1.48 / 86.89 ± 0.74@@73.89,65.37 ± 2.60 / 82.26 ± 1.42@@65.37,79.66 ± 3.88 / 56.82 ± 5.92@@79.66,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.37@@1.37,?,100256.0,272000.0,✓,✗,✗,✓,61.07 ± 2.77 / 72.31 ± 2.04@@61.07,80.22 ± 1.58 / 67.78 ± 2.63@@80.22,82.01 ± 2.33 / 64.64 ± 2.91@@82.01,67.46 ± 3.64 / 82.81 ± 1.82@@67.46,67.32 ± 2.89 / 82.66 ± 1.67@@67.32,72.46 ± 0.73 / 45.23 ± 1.49@@72.46,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.38@@1.38,?,256128.0,1048576.0,✓,✗,✗,✓,58.15 ± 1.98 / 68.34 ± 1.70@@58.15,77.44 ± 1.06 / 61.35 ± 2.25@@77.44,79.37 ± 2.27 / 64.07 ± 2.89@@79.37,76.61 ± 2.50 / 88.28 ± 1.26@@76.61,73.33 ± 1.73 / 86.53 ± 0.89@@73.33,70.36 ± 0.79 / 43.69 ± 1.48@@70.36,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.40@@1.40,?,256128.0,1048576.0,✓,✗,✗,✓,61.02 ± 1.14 / 72.22 ± 0.94@@61.02,74.76 ± 1.06 / 57.98 ± 1.24@@74.76,72.00 ± 1.78 / 58.31 ± 1.63@@72.00,71.65 ± 1.44 / 85.10 ± 0.82@@71.65,73.39 ± 0.76 / 86.09 ± 0.43@@73.39,73.40 ± 0.35 / 46.71 ± 0.75@@73.40,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.40@@1.40,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,64.42 ± 1.00 / 76.06 ± 0.78@@64.42,82.10 ± 1.08 / 81.35 ± 1.09@@82.10,81.44 ± 0.83 / 81.01 ± 1.43@@81.44,65.57 ± 1.68 / 81.05 ± 1.11@@65.57,49.78 ± 1.71 / 70.53 ± 1.67@@49.78,73.24 ± 1.20 / 45.40 ± 1.45@@73.24,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.41@@1.41,?,100256.0,272000.0,✓,✗,✗,✓,59.13 ± 2.35 / 71.08 ± 1.76@@59.13,79.44 ± 1.43 / 65.46 ± 2.88@@79.44,84.40 ± 1.83 / 69.21 ± 2.23@@84.40,66.44 ± 2.88 / 82.49 ± 1.43@@66.44,67.11 ± 2.77 / 82.30 ± 1.49@@67.11,70.59 ± 0.76 / 44.73 ± 1.23@@70.59,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
