<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.36@@1.36,1.40@@1.40,1.15@@1.15,1.30@@1.30,1.44@@1.44,1.58@@1.58,1.27@@1.27,?,?,?,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.64@@1.64,1.53@@1.53,1.37@@1.37,1.77@@1.77,1.86@@1.86,1.67@@1.67,1.63@@1.63,?,?,200000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.67@@1.67,1.80@@1.80,1.40@@1.40,1.69@@1.69,1.57@@1.57,1.95@@1.95,1.62@@1.62,?,?,?,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.76@@1.76,1.61@@1.61,1.60@@1.60,1.92@@1.92,2.04@@2.04,1.67@@1.67,1.73@@1.73,?,100256.0,272000.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.79@@1.79,1.72@@1.72,1.43@@1.43,1.82@@1.82,1.99@@1.99,2.04@@2.04,1.71@@1.71,?,?,200000.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.80@@1.80,1.97@@1.97,1.54@@1.54,1.81@@1.81,1.88@@1.88,1.95@@1.95,1.68@@1.68,24011361280.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.80@@1.80,1.90@@1.90,1.48@@1.48,1.79@@1.79,1.88@@1.88,2.23@@2.23,1.54@@1.54,32759790592.0,151665.0,131072.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.81@@1.81,2.02@@2.02,1.57@@1.57,1.76@@1.76,1.94@@1.94,1.96@@1.96,1.61@@1.61,24011361280.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.81@@1.81,1.97@@1.97,1.45@@1.45,1.68@@1.68,1.63@@1.63,1.98@@1.98,2.17@@2.17,24011361280.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.81@@1.81,1.90@@1.90,1.48@@1.48,1.62@@1.62,1.67@@1.67,2.03@@2.03,2.17@@2.17,70553706496.0,128256.0,131072.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.81@@1.81,1.58@@1.58,1.53@@1.53,1.98@@1.98,2.21@@2.21,1.75@@1.75,1.79@@1.79,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.82@@1.82,1.96@@1.96,1.60@@1.60,1.78@@1.78,1.89@@1.89,1.98@@1.98,1.73@@1.73,24261800960.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.84@@1.84,1.63@@1.63,1.70@@1.70,1.98@@1.98,2.09@@2.09,1.94@@1.94,1.70@@1.70,32762123264.0,151936.0,40960.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.85@@1.85,1.61@@1.61,1.60@@1.60,2.10@@2.10,2.30@@2.30,1.69@@1.69,1.80@@1.80,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.90@@1.90,2.31@@2.31,1.54@@1.54,1.81@@1.81,1.90@@1.90,2.19@@2.19,1.67@@1.67,70553706496.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.92@@1.92,1.98@@1.98,1.67@@1.67,1.84@@1.84,1.77@@1.77,1.88@@1.88,2.35@@2.35,27432406640.0,262144.0,8192.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.93@@1.93,1.73@@1.73,1.67@@1.67,2.17@@2.17,2.24@@2.24,1.89@@1.89,1.88@@1.88,?,?,1047576.0,✓,✗
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.93@@1.93,1.96@@1.96,1.59@@1.59,2.06@@2.06,2.04@@2.04,2.25@@2.25,1.69@@1.69,72706203648.0,152064.0,32768.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.94@@1.94,2.30@@2.30,1.56@@1.56,1.89@@1.89,2.06@@2.06,2.17@@2.17,1.67@@1.67,70553706496.0,128256.0,131072.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.95@@1.95,1.75@@1.75,1.80@@1.80,2.07@@2.07,2.32@@2.32,1.87@@1.87,1.91@@1.91,?,100256.0,272000.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.96@@1.96,1.85@@1.85,1.74@@1.74,2.09@@2.09,2.17@@2.17,2.11@@2.11,1.82@@1.82,14768307200.0,151936.0,40960.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.97@@1.97,1.82@@1.82,1.75@@1.75,2.17@@2.17,2.34@@2.34,1.87@@1.87,1.85@@1.85,?,256128.0,1048576.0,✓,✗
