<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/serbian#mms-sr'>mms_sr</a>,<a href='https://euroeval.com/datasets/serbian#uner-sr'>uner_sr</a>,<a href='https://euroeval.com/datasets/serbian#scala-sr'>scala_sr</a>,<a href='https://euroeval.com/datasets/serbian#multi-wiki-qa-sr'>multi_wiki_qa_sr</a>,mms_sr_version,uner_sr_version,scala_sr_version,multi_wiki_qa_sr_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.24@@1.24,?,?,200000,✓,✗,48.01 ± 3.41 / 59.39 ± 2.54@@48.01,87.60 ± 0.98 / 87.60 ± 0.98@@87.60,66.43 ± 2.41 / 82.84 ± 1.25@@66.43,62.12 ± 1.35 / 36.05 ± 1.47@@62.12,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.26@@1.26,?,100256.0,272000,✓,✗,47.27 ± 2.78 / 59.19 ± 2.19@@47.27,87.13 ± 1.01 / 87.13 ± 1.01@@87.13,72.57 ± 3.28 / 86.08 ± 1.67@@72.57,62.03 ± 0.90 / 39.96 ± 0.78@@62.03,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.30@@1.30,?,256128.0,1048576,✓,✗,44.43 ± 3.58 / 55.67 ± 2.75@@44.43,84.58 ± 1.16 / 84.58 ± 1.16@@84.58,74.36 ± 2.77 / 86.94 ± 1.41@@74.36,63.24 ± 1.00 / 42.14 ± 1.09@@63.24,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.46@@1.46,?,100256.0,272000,✓,✗,46.86 ± 3.31 / 56.89 ± 2.34@@46.86,73.15 ± 1.45 / 73.15 ± 1.45@@73.15,67.09 ± 2.94 / 82.69 ± 1.46@@67.09,65.59 ± 0.54 / 41.22 ± 0.95@@65.59,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.50@@1.50,?,?,200000,✓,✗,48.01 ± 2.69 / 60.80 ± 2.04@@48.01,85.69 ± 1.02 / 85.69 ± 1.02@@85.69,46.33 ± 3.05 / 65.28 ± 2.57@@46.33,63.43 ± 1.01 / 37.20 ± 1.72@@63.43,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.50@@1.50,?,256128.0,1048576,✓,✗,49.53 ± 3.41 / 62.84 ± 2.54@@49.53,79.28 ± 1.31 / 79.28 ± 1.31@@79.28,71.60 ± 3.41 / 85.27 ± 1.78@@71.60,60.55 ± 1.16 / 31.32 ± 0.93@@60.55,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.57@@1.57,?,256128.0,1048576,✓,✗,42.64 ± 3.40 / 56.84 ± 2.19@@42.64,77.01 ± 0.81 / 77.01 ± 0.81@@77.01,65.39 ± 3.10 / 82.63 ± 1.55@@65.39,62.98 ± 0.68 / 36.04 ± 1.46@@62.98,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.58@@1.58,?,100256.0,272000,✓,✗,41.39 ± 3.35 / 55.11 ± 2.51@@41.39,81.22 ± 1.05 / 81.22 ± 1.05@@81.22,53.54 ± 3.27 / 76.11 ± 1.77@@53.54,62.47 ± 0.80 / 35.28 ± 0.94@@62.47,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.61@@1.61,?,256128.0,1048576,✓,✗,45.56 ± 3.66 / 56.89 ± 2.41@@45.56,77.93 ± 1.79 / 77.93 ± 1.79@@77.93,66.50 ± 2.67 / 82.83 ± 1.55@@66.50,60.59 ± 1.12 / 36.77 ± 0.89@@60.59,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.99@@1.99,?,?,200000,✓,✗,47.12 ± 2.81 / 58.01 ± 1.99@@47.12,70.04 ± 1.38 / 70.04 ± 1.38@@70.04,50.77 ± 2.97 / 74.53 ± 1.40@@50.77,59.61 ± 1.09 / 29.92 ± 1.45@@59.61,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,2.10@@2.10,?,?,1047576,✓,✗,43.97 ± 2.43 / 59.08 ± 1.87@@43.97,67.42 ± 1.49 / 67.42 ± 1.49@@67.42,67.60 ± 2.49 / 81.29 ± 1.55@@67.60,58.47 ± 1.10 / 30.82 ± 0.92@@58.47,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.10@@2.10,?,?,1047576,✓,✗,46.02 ± 2.97 / 62.03 ± 2.22@@46.02,63.44 ± 1.23 / 63.44 ± 1.23@@63.44,56.33 ± 3.54 / 76.11 ± 1.98@@56.33,59.38 ± 1.38 / 33.94 ± 1.02@@59.38,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.34@@2.34,?,256128.0,1048576,✓,✗,44.28 ± 2.99 / 57.07 ± 2.15@@44.28,60.87 ± 1.91 / 60.87 ± 1.91@@60.87,42.02 ± 3.86 / 63.44 ± 2.37@@42.02,60.41 ± 1.09 / 31.31 ± 1.19@@60.41,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
