<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Bosnian,Bulgarian,Croatian,Czech,Polish,Serbian,Slovak,Slovene,Ukrainian
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.35@@1.35,?,?,256128.0,1048576.0,✓,✗,✗,✓,1.39@@1.39,1.28@@1.28,1.34@@1.34,1.37@@1.37,1.59@@1.59,1.17@@1.17,1.30@@1.30,1.39@@1.39,1.37@@1.37
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.37@@1.37,?,?,?,200000.0,✓,✗,✗,✓,1.38@@1.38,1.36@@1.36,1.45@@1.45,1.37@@1.37,1.49@@1.49,1.21@@1.21,1.36@@1.36,1.37@@1.37,1.38@@1.38
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.47@@1.47,83.23,?,256128.0,1048576.0,✓,✗,✗,✓,1.45@@1.45,1.32@@1.32,1.43@@1.43,1.27@@1.27,1.73@@1.73,1.30@@1.30,1.53@@1.53,1.52@@1.52,1.68@@1.68
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.50@@1.50,?,?,256128.0,1048576.0,✓,✗,✗,✓,1.51@@1.51,1.32@@1.32,1.66@@1.66,1.42@@1.42,1.66@@1.66,1.36@@1.36,1.51@@1.51,1.45@@1.45,1.56@@1.56
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.52@@1.52,72.21,?,256128.0,1048576.0,✓,✗,✗,✓,1.47@@1.47,1.43@@1.43,1.66@@1.66,1.43@@1.43,1.68@@1.68,1.42@@1.42,1.55@@1.55,1.46@@1.46,1.59@@1.59
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.56@@1.56,82.09,?,?,?,✓,✗,✗,✓,1.58@@1.58,1.42@@1.42,1.65@@1.65,1.40@@1.40,1.71@@1.71,1.50@@1.50,1.58@@1.58,1.57@@1.57,1.60@@1.60
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.59@@1.59,36.02,?,?,400000.0,✓,✗,✗,✓,2.04@@2.04,1.38@@1.38,1.65@@1.65,1.37@@1.37,1.57@@1.57,1.74@@1.74,1.54@@1.54,1.50@@1.50,1.53@@1.53
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,100256.0,272000.0,✓,✗,✗,✓,1.50@@1.50,1.47@@1.47,1.72@@1.72,1.60@@1.60,1.87@@1.87,1.43@@1.43,1.65@@1.65,1.69@@1.69,1.65@@1.65
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.63@@1.63,0.2,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.89@@1.89,1.44@@1.44,1.61@@1.61,1.57@@1.57,1.79@@1.79,1.75@@1.75,1.48@@1.48,1.60@@1.60,1.50@@1.50
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.63@@1.63,39.56,?,?,400000.0,✓,✗,✗,✓,1.95@@1.95,1.45@@1.45,1.74@@1.74,1.42@@1.42,1.68@@1.68,1.73@@1.73,1.67@@1.67,1.56@@1.56,1.47@@1.47
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.66@@1.66,31.47,?,?,131072.0,✓,✗,✗,✓,1.45@@1.45,1.59@@1.59,1.71@@1.71,1.80@@1.80,1.88@@1.88,1.49@@1.49,1.78@@1.78,1.62@@1.62,1.61@@1.61
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.68@@1.68,31.34,?,?,400000.0,✓,✗,✗,✓,2.01@@2.01,1.51@@1.51,1.72@@1.72,1.42@@1.42,1.74@@1.74,1.83@@1.83,1.68@@1.68,1.53@@1.53,1.65@@1.65
