<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Bosnian,Bulgarian,Croatian,Czech,Polish,Serbian,Slovak,Slovene,Ukrainian
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.43@@1.43,?,256128.0,1048576.0,✓,✗,✗,✓,1.40@@1.40,1.35@@1.35,1.42@@1.42,1.61@@1.61,1.60@@1.60,1.23@@1.23,1.42@@1.42,1.39@@1.39,1.43@@1.43
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.45@@1.45,?,?,400000.0,✓,✗,✗,✓,1.51@@1.51,1.30@@1.30,1.58@@1.58,1.45@@1.45,1.55@@1.55,1.30@@1.30,1.53@@1.53,1.41@@1.41,1.44@@1.44
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.45@@1.45,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.31@@1.31,1.36@@1.36,1.56@@1.56,1.66@@1.66,1.58@@1.58,1.32@@1.32,1.34@@1.34,1.53@@1.53,1.42@@1.42
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.47@@1.47,?,?,400000.0,✓,✗,✗,✓,1.40@@1.40,1.40@@1.40,1.66@@1.66,1.49@@1.49,1.59@@1.59,1.28@@1.28,1.59@@1.59,1.41@@1.41,1.41@@1.41
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.48@@1.48,?,256128.0,1048576.0,✓,✗,✗,✓,1.46@@1.46,1.37@@1.37,1.54@@1.54,1.54@@1.54,1.69@@1.69,1.30@@1.30,1.58@@1.58,1.45@@1.45,1.42@@1.42
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.49@@1.49,?,?,400000.0,✓,✗,✗,✓,1.46@@1.46,1.36@@1.36,1.55@@1.55,1.52@@1.52,1.62@@1.62,1.37@@1.37,1.58@@1.58,1.45@@1.45,1.47@@1.47
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.49@@1.49,?,256128.0,1048576.0,✓,✗,✗,✓,1.40@@1.40,1.32@@1.32,1.64@@1.64,1.56@@1.56,1.73@@1.73,1.31@@1.31,1.63@@1.63,1.34@@1.34,1.45@@1.45
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.50@@1.50,?,?,200000.0,✓,✗,✗,✓,1.38@@1.38,1.43@@1.43,1.62@@1.62,1.59@@1.59,1.65@@1.65,1.29@@1.29,1.54@@1.54,1.51@@1.51,1.50@@1.50
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.51@@1.51,?,256128.0,1048576.0,✓,✗,✗,✓,1.38@@1.38,1.36@@1.36,1.65@@1.65,1.42@@1.42,1.69@@1.69,1.26@@1.26,1.60@@1.60,1.51@@1.51,1.75@@1.75
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.52@@1.52,?,100256.0,272000.0,✓,✗,✗,✓,1.44@@1.44,1.46@@1.46,1.74@@1.74,1.65@@1.65,1.64@@1.64,1.29@@1.29,1.52@@1.52,1.46@@1.46,1.46@@1.46
