<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/slovak#csfd-sentiment-sk'>csfd_sentiment_sk</a>,<a href='https://euroeval.com/datasets/slovak#uner-sk'>uner_sk</a>,<a href='https://euroeval.com/datasets/slovak#scala-sk'>scala_sk</a>,<a href='https://euroeval.com/datasets/slovak#multi-wiki-qa-sk'>multi_wiki_qa_sk</a>,<a href='https://euroeval.com/datasets/slovak#mmlu-sk'>mmlu_sk</a>,<a href='https://euroeval.com/datasets/slovak#winogrande-sk'>winogrande_sk</a>,csfd_sentiment_sk_version,uner_sk_version,scala_sk_version,multi_wiki_qa_sk_version,mmlu_sk_version,winogrande_sk_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.28@@1.28,?,256128.0,1048576.0,✓,✗,61.69 ± 2.21 / 68.86 ± 1.96@@61.69,62.39 ± 1.02 / 62.39 ± 1.02@@62.39,69.00 ± 2.27 / 84.06 ± 1.30@@69.00,57.24 ± 1.28 / 31.35 ± 1.55@@57.24,86.25 ± 2.00 / 89.65 ± 1.55@@86.25,73.56 ± 5.03 / 87.27 ± 2.50@@73.56,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.36@@1.36,?,100256.0,272000.0,✓,✗,54.23 ± 2.22 / 58.71 ± 1.70@@54.23,63.83 ± 1.74 / 63.83 ± 1.74@@63.83,63.79 ± 2.64 / 81.80 ± 1.32@@63.79,58.86 ± 1.35 / 36.37 ± 1.66@@58.86,88.78 ± 0.66 / 91.60 ± 0.49@@88.78,72.04 ± 2.88 / 86.09 ± 1.40@@72.04,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.36@@1.36,?,?,200000.0,✓,✗,55.49 ± 2.37 / 62.49 ± 1.40@@55.49,63.92 ± 2.18 / 63.92 ± 2.18@@63.92,60.17 ± 4.42 / 79.97 ± 2.20@@60.17,59.23 ± 1.24 / 35.03 ± 1.46@@59.23,89.00 ± 1.56 / 91.76 ± 1.17@@89.00,77.50 ± 2.70 / 89.45 ± 1.32@@77.50,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.41@@1.41,?,256128.0,1048576.0,✓,✗,54.64 ± 1.80 / 58.47 ± 1.41@@54.64,57.00 ± 1.44 / 57.00 ± 1.44@@57.00,65.44 ± 2.04 / 81.99 ± 1.15@@65.44,61.38 ± 1.32 / 41.61 ± 1.73@@61.38,85.75 ± 1.72 / 89.34 ± 1.30@@85.75,74.26 ± 3.37 / 87.81 ± 1.62@@74.26,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.42@@1.42,235107904512.0,151936.0,262144.0,✓,✗,57.14 ± 1.56 / 64.66 ± 1.92@@57.14,73.22 ± 1.31 / 73.22 ± 1.31@@73.22,44.67 ± 1.41 / 69.41 ± 0.99@@44.67,63.84 ± 1.09 / 44.78 ± 1.22@@63.84,81.14 ± 0.53 / 85.84 ± 0.40@@81.14,72.99 ± 1.78 / 86.49 ± 0.89@@72.99,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.44@@1.44,?,256128.0,1048576.0,✓,✗,56.59 ± 2.11 / 61.63 ± 1.48@@56.59,54.50 ± 1.45 / 54.50 ± 1.45@@54.50,64.97 ± 2.64 / 82.00 ± 1.41@@64.97,57.58 ± 1.47 / 31.92 ± 1.68@@57.58,88.27 ± 0.92 / 91.21 ± 0.70@@88.27,71.26 ± 2.59 / 86.41 ± 1.30@@71.26,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.48@@1.48,?,256128.0,1048576.0,✓,✗,55.34 ± 1.90 / 61.99 ± 1.59@@55.34,64.41 ± 1.25 / 64.41 ± 1.25@@64.41,63.09 ± 2.88 / 81.00 ± 1.68@@63.09,54.27 ± 1.62 / 27.80 ± 1.84@@54.27,85.02 ± 1.49 / 88.75 ± 1.13@@85.02,59.93 ± 4.00 / 79.22 ± 2.18@@59.93,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.50@@1.50,?,256128.0,1048576.0,✓,✗,57.34 ± 2.16 / 64.24 ± 1.74@@57.34,59.62 ± 2.25 / 59.62 ± 2.25@@59.62,64.02 ± 3.38 / 81.61 ± 1.84@@64.02,54.27 ± 1.62 / 27.80 ± 1.84@@54.27,85.53 ± 1.45 / 89.14 ± 1.11@@85.53,63.47 ± 4.42 / 82.73 ± 2.21@@63.47,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.61@@1.61,32759790592.0,151665.0,131072.0,✓,✗,57.76 ± 0.99 / 68.47 ± 1.10@@57.76,67.58 ± 0.85 / 67.58 ± 0.85@@67.58,52.10 ± 1.67 / 75.44 ± 0.86@@52.10,70.10 ± 0.62 / 47.52 ± 1.02@@70.10,70.03 ± 1.13 / 77.49 ± 0.86@@70.03,50.98 ± 1.36 / 75.49 ± 0.67@@50.98,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
