<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/slovene#sentinews'>sentinews</a>,<a href='https://euroeval.com/datasets/slovene#ssj500k-ner'>ssj500k_ner</a>,<a href='https://euroeval.com/datasets/slovene#scala-sl'>scala_sl</a>,<a href='https://euroeval.com/datasets/slovene#multi-wiki-qa-sl'>multi_wiki_qa_sl</a>,<a href='https://euroeval.com/datasets/slovene#mmlu-sl'>mmlu_sl</a>,<a href='https://euroeval.com/datasets/slovene#winogrande-sl'>winogrande_sl</a>,sentinews_version,ssj500k_ner_version,scala_sl_version,multi_wiki_qa_sl_version,mmlu_sl_version,winogrande_sl_version
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.13@@1.13,?,100256.0,272000,✓,✗,50.72 ± 2.48 / 65.39 ± 1.79@@50.72,75.31 ± 2.09 / 62.49 ± 2.57@@75.31,59.76 ± 2.84 / 79.48 ± 1.38@@59.76,61.38 ± 1.11 / 39.62 ± 2.23@@61.38,82.65 ± 1.80 / 87.11 ± 1.34@@82.65,74.61 ± 3.61 / 87.73 ± 1.88@@74.61,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.16@@1.16,?,256128.0,1048576,✓,✗,56.20 ± 1.67 / 69.30 ± 1.04@@56.20,71.50 ± 3.28 / 61.38 ± 3.03@@71.50,64.71 ± 3.82 / 81.34 ± 2.03@@64.71,62.19 ± 0.95 / 42.19 ± 1.45@@62.19,74.49 ± 2.02 / 80.94 ± 1.52@@74.49,72.09 ± 4.28 / 86.80 ± 2.11@@72.09,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.21@@1.21,?,?,200000,✓,✗,50.59 ± 3.25 / 65.18 ± 2.31@@50.59,76.38 ± 1.80 / 68.68 ± 1.62@@76.38,58.28 ± 2.10 / 78.97 ± 1.04@@58.28,59.92 ± 1.26 / 34.27 ± 1.77@@59.92,78.24 ± 1.50 / 83.83 ± 1.14@@78.24,82.69 ± 3.71 / 91.48 ± 1.86@@82.69,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.53@@1.53,?,256128.0,1048576,✓,✗,54.42 ± 2.53 / 67.87 ± 1.75@@54.42,65.72 ± 2.12 / 54.05 ± 2.52@@65.72,61.70 ± 2.27 / 80.22 ± 1.17@@61.70,56.50 ± 1.33 / 29.76 ± 1.68@@56.50,80.75 ± 2.11 / 85.74 ± 1.57@@80.75,69.80 ± 4.44 / 86.02 ± 2.02@@69.80,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.63@@1.63,?,100256.0,272000,✓,✗,48.49 ± 2.26 / 64.30 ± 1.54@@48.49,61.45 ± 4.30 / 46.10 ± 4.28@@61.45,51.87 ± 4.58 / 74.92 ± 2.37@@51.87,60.54 ± 1.15 / 40.11 ± 1.88@@60.54,75.50 ± 2.00 / 81.60 ± 1.57@@75.50,65.54 ± 3.20 / 83.75 ± 1.37@@65.54,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.63@@1.63,?,256128.0,1048576,✓,✗,48.90 ± 2.63 / 64.27 ± 1.99@@48.90,71.18 ± 2.99 / 51.82 ± 2.43@@71.18,51.77 ± 2.99 / 75.66 ± 1.55@@51.77,59.70 ± 1.49 / 36.42 ± 1.89@@59.70,70.98 ± 1.44 / 78.24 ± 1.12@@70.98,48.76 ± 5.77 / 75.78 ± 2.80@@48.76,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.64@@1.64,?,256128.0,1048576,✓,✗,48.93 ± 2.06 / 64.06 ± 1.40@@48.93,65.62 ± 2.86 / 52.78 ± 2.36@@65.62,58.26 ± 2.73 / 78.80 ± 1.42@@58.26,59.83 ± 1.40 / 37.61 ± 2.26@@59.83,71.32 ± 2.08 / 78.40 ± 1.51@@71.32,50.12 ± 4.59 / 76.80 ± 2.15@@50.12,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.68@@1.68,?,?,200000,✓,✗,46.69 ± 3.41 / 60.97 ± 2.39@@46.69,74.26 ± 2.46 / 66.04 ± 3.15@@74.26,33.36 ± 3.31 / 56.97 ± 1.83@@33.36,61.38 ± 1.35 / 35.29 ± 2.17@@61.38,61.33 ± 1.83 / 69.30 ± 1.50@@61.33,46.64 ± 4.58 / 68.05 ± 2.68@@46.64,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.02@@2.02,?,100256.0,272000,✓,✗,47.84 ± 2.39 / 63.74 ± 1.56@@47.84,75.39 ± 1.47 / 64.93 ± 2.16@@75.39,37.35 ± 2.25 / 67.21 ± 1.09@@37.35,59.04 ± 1.10 / 38.19 ± 1.92@@59.04,66.49 ± 2.19 / 74.84 ± 1.67@@66.49,17.83 ± 5.03 / 61.56 ± 2.19@@17.83,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
