<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/swedish#swerec'>swerec</a>,<a href='https://euroeval.com/datasets/swedish#suc3'>suc3</a>,<a href='https://euroeval.com/datasets/swedish#scala-sv'>scala_sv</a>,<a href='https://euroeval.com/datasets/swedish#multi-wiki-qa-sv'>multi_wiki_qa_sv</a>,swerec_version,suc3_version,scala_sv_version,multi_wiki_qa_sv_version
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.20@@1.20,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,78.89 ± 1.45 / 77.31 ± 1.34@@78.89,81.18 ± 1.20 / 73.90 ± 1.18@@81.18,71.80 ± 1.11 / 85.77 ± 0.54@@71.80,74.62 ± 0.47 / 48.80 ± 1.10@@74.62,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.22@@1.22,?,256128.0,1048576.0,✓,✗,✗,✓,78.35 ± 2.48 / 76.61 ± 2.05@@78.35,76.42 ± 0.82 / 61.80 ± 1.81@@76.42,78.42 ± 2.16 / 88.75 ± 1.09@@78.42,71.99 ± 0.98 / 49.93 ± 1.83@@71.99,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.25@@1.25,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,80.88 ± 0.66 / 80.18 ± 0.62@@80.88,75.01 ± 1.91 / 62.05 ± 4.29@@75.01,65.09 ± 1.17 / 81.58 ± 0.90@@65.09,81.23 ± 1.22 / 65.10 ± 1.35@@81.23,16.5.0.dev0@@160500,15.9.1@@150901,16.5.0.dev0@@160500,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.25@@1.25,?,?,?,✓,✗,✗,✓,74.47 ± 2.79 / 71.14 ± 1.85@@74.47,81.00 ± 2.24 / 74.48 ± 1.95@@81.00,68.66 ± 3.17 / 83.60 ± 1.78@@68.66,73.95 ± 0.83 / 52.52 ± 1.84@@73.95,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.28@@1.28,?,?,400000.0,✓,✗,✗,✓,75.78 ± 1.63 / 71.84 ± 1.54@@75.78,82.20 ± 0.63 / 67.64 ± 0.94@@82.20,70.19 ± 1.35 / 84.65 ± 0.72@@70.19,70.32 ± 0.45 / 50.54 ± 0.54@@70.32,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.29@@1.29,?,?,?,✓,✗,✗,✓,77.09 ± 1.45 / 74.66 ± 1.40@@77.09,77.02 ± 1.14 / 64.06 ± 0.86@@77.02,71.29 ± 1.37 / 85.11 ± 0.68@@71.29,72.20 ± 0.46 / 48.42 ± 0.66@@72.20,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.30@@1.30,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,78.37 ± 1.28 / 77.91 ± 1.19@@78.37,79.77 ± 0.96 / 70.89 ± 1.05@@79.77,64.51 ± 1.91 / 82.14 ± 0.97@@64.51,73.55 ± 0.30 / 48.49 ± 0.96@@73.55,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.30@@1.30,?,?,400000.0,✓,✗,✗,✓,76.34 ± 1.65 / 73.38 ± 1.51@@76.34,83.44 ± 1.14 / 68.61 ± 1.06@@83.44,67.69 ± 1.31 / 83.67 ± 0.68@@67.69,70.10 ± 0.45 / 48.82 ± 0.59@@70.10,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.30@@1.30,?,?,400000.0,✓,✗,✗,✓,77.16 ± 2.68 / 75.01 ± 2.56@@77.16,75.83 ± 2.04 / 55.61 ± 2.02@@75.83,69.29 ± 2.30 / 84.23 ± 1.10@@69.29,74.11 ± 1.45 / 48.78 ± 2.67@@74.11,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
