<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/ukrainian#cross-domain-uk-reviews'>cross_domain_uk_reviews</a>,<a href='https://euroeval.com/datasets/ukrainian#ner-uk'>ner_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#scala-uk'>scala_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#multi-wiki-qa-uk'>multi_wiki_qa_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#lr-sum-uk'>lr_sum_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#global-mmlu-uk'>global_mmlu_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#winogrande-uk'>winogrande_uk</a>,cross_domain_uk_reviews_version,ner_uk_version,scala_uk_version,multi_wiki_qa_uk_version,lr_sum_uk_version,global_mmlu_uk_version,winogrande_uk_version
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.13@@1.13,?,100256.0,272000,✓,✗,59.50 ± 1.67 / 61.09 ± 1.38@@59.50,81.68 ± 1.59 / 67.96 ± 1.85@@81.68,39.42 ± 3.88 / 68.79 ± 2.05@@39.42,53.73 ± 0.85 / 30.01 ± 1.05@@53.73,62.54 ± 0.15 / 6.77 ± 0.64@@62.54,90.60 ± 1.42 / 92.97 ± 1.06@@90.60,78.94 ± 3.81 / 89.53 ± 1.89@@78.94,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.15@@1.15,?,?,200000,✓,✗,61.09 ± 2.18 / 64.48 ± 1.84@@61.09,80.64 ± 1.84 / 75.40 ± 2.30@@80.64,32.84 ± 4.17 / 63.58 ± 2.06@@32.84,58.88 ± 0.84 / 32.63 ± 1.02@@58.88,62.24 ± 0.23 / 7.47 ± 0.63@@62.24,89.71 ± 1.33 / 92.30 ± 1.00@@89.71,81.63 ± 4.07 / 91.09 ± 2.02@@81.63,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.20@@1.20,?,256128.0,1048576,✓,✗,58.30 ± 1.82 / 60.01 ± 1.41@@58.30,67.97 ± 3.32 / 50.23 ± 2.67@@67.97,46.76 ± 4.74 / 73.33 ± 2.40@@46.76,59.37 ± 1.15 / 34.14 ± 1.04@@59.37,63.06 ± 0.15 / 8.49 ± 0.73@@63.06,83.54 ± 1.93 / 87.58 ± 1.46@@83.54,67.39 ± 2.51 / 84.77 ± 1.10@@67.39,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.22@@1.22,?,256128.0,1048576,✓,✗,60.34 ± 1.72 / 65.55 ± 1.27@@60.34,75.70 ± 0.94 / 58.19 ± 1.47@@75.70,35.92 ± 3.80 / 67.89 ± 1.92@@35.92,52.94 ± 0.86 / 23.60 ± 0.74@@52.94,62.60 ± 0.14 / 7.70 ± 0.74@@62.60,88.86 ± 0.98 / 91.64 ± 0.74@@88.86,71.53 ± 5.63 / 86.72 ± 2.68@@71.53,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.33@@1.33,?,256128.0,1048576,✓,✗,58.43 ± 1.92 / 61.68 ± 1.49@@58.43,66.90 ± 3.46 / 48.67 ± 2.52@@66.90,45.21 ± 2.96 / 72.35 ± 1.52@@45.21,57.80 ± 0.86 / 31.15 ± 0.89@@57.80,63.07 ± 0.15 / 7.99 ± 0.80@@63.07,82.48 ± 2.02 / 86.91 ± 1.51@@82.48,42.84 ± 6.06 / 73.44 ± 2.68@@42.84,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.34@@1.34,?,100256.0,272000,✓,✗,60.74 ± 1.63 / 62.72 ± 1.24@@60.74,63.16 ± 2.91 / 46.19 ± 2.38@@63.16,32.73 ± 3.96 / 64.63 ± 2.19@@32.73,54.13 ± 0.82 / 29.44 ± 1.09@@54.13,62.74 ± 0.14 / 6.65 ± 0.55@@62.74,86.73 ± 1.63 / 90.08 ± 1.21@@86.73,69.68 ± 6.08 / 84.92 ± 2.98@@69.68,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.38@@1.38,?,256128.0,1048576,✓,✗,58.00 ± 1.67 / 61.15 ± 1.52@@58.00,66.80 ± 2.99 / 45.24 ± 1.59@@66.80,42.24 ± 4.29 / 69.93 ± 2.21@@42.24,55.49 ± 1.16 / 33.12 ± 1.04@@55.49,62.99 ± 0.14 / 6.46 ± 0.49@@62.99,76.80 ± 2.14 / 82.62 ± 1.64@@76.80,40.60 ± 5.04 / 71.56 ± 2.63@@40.60,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.44@@1.44,?,100256.0,272000,✓,✗,55.68 ± 1.68 / 60.84 ± 1.21@@55.68,72.35 ± 3.15 / 64.44 ± 3.40@@72.35,38.28 ± 4.16 / 68.16 ± 2.13@@38.28,57.88 ± 1.13 / 28.86 ± 1.81@@57.88,62.51 ± 0.16 / 5.53 ± 0.57@@62.51,83.69 ± 1.35 / 87.77 ± 1.01@@83.69,36.02 ± 3.71 / 66.95 ± 1.46@@36.02,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.48@@1.48,?,?,1047576,✓,✗,59.62 ± 1.84 / 65.29 ± 1.23@@59.62,47.78 ± 2.21 / 31.41 ± 1.73@@47.78,37.49 ± 3.93 / 68.56 ± 2.07@@37.49,54.54 ± 0.85 / 24.97 ± 1.12@@54.54,63.48 ± 0.17 / 7.75 ± 0.90@@63.48,76.38 ± 1.81 / 82.30 ± 1.33@@76.38,57.10 ± 4.61 / 78.75 ± 2.54@@57.10,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
