<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/ukrainian#cross-domain-uk-reviews'>cross_domain_uk_reviews</a>,<a href='https://euroeval.com/datasets/ukrainian#ner-uk'>ner_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#scala-uk'>scala_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#multi-wiki-qa-uk'>multi_wiki_qa_uk</a>,cross_domain_uk_reviews_version,ner_uk_version,scala_uk_version,multi_wiki_qa_uk_version
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.22@@1.22,24011361280.0,131072.0,8192.0,✓,✗,61.25 ± 2.06 / 71.08 ± 2.66@@61.25,67.02 ± 1.72 / 55.03 ± 2.93@@67.02,43.24 ± 1.44 / 70.92 ± 1.01@@43.24,69.59 ± 1.56 / 46.92 ± 0.65@@69.59,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.28@@1.28,27432406640.0,262144.0,8192.0,✓,✗,62.28 ± 2.49 / 69.05 ± 3.29@@62.28,67.01 ± 2.69 / 62.07 ± 2.89@@67.01,40.52 ± 1.98 / 69.25 ± 1.60@@40.52,69.97 ± 1.81 / 47.13 ± 1.80@@69.97,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.28@@1.28,32759790592.0,151665.0,131072.0,✓,✗,60.47 ± 1.70 / 71.33 ± 1.79@@60.47,70.82 ± 1.24 / 56.92 ± 3.93@@70.82,42.72 ± 1.85 / 70.54 ± 1.21@@42.72,62.82 ± 1.57 / 36.61 ± 1.53@@62.82,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.30@@1.30,?,?,?,✓,✗,63.25 ± 1.59 / 66.92 ± 1.45@@63.25,70.98 ± 2.65 / 60.99 ± 2.00@@70.98,45.30 ± 2.28 / 72.54 ± 1.14@@45.30,56.04 ± 0.86 / 29.55 ± 1.10@@56.04,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.32@@1.32,24011361280.0,131072.0,8192.0,✓,✗,60.78 ± 2.19 / 70.50 ± 2.73@@60.78,64.92 ± 1.64 / 54.65 ± 3.20@@64.92,45.24 ± 2.17 / 72.38 ± 1.11@@45.24,64.58 ± 1.79 / 39.10 ± 1.66@@64.58,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.32@@1.32,24261800960.0,131072.0,8192.0,✓,✗,59.07 ± 2.26 / 67.13 ± 3.30@@59.07,69.76 ± 1.63 / 63.06 ± 3.24@@69.76,40.85 ± 1.95 / 69.14 ± 0.96@@40.85,66.13 ± 2.70 / 45.10 ± 2.50@@66.13,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.35@@1.35,?,100256.0,272000.0,✓,✗,59.50 ± 1.67 / 61.09 ± 1.38@@59.50,81.68 ± 1.59 / 67.96 ± 1.85@@81.68,39.42 ± 3.88 / 68.79 ± 2.05@@39.42,53.73 ± 0.85 / 30.01 ± 1.05@@53.73,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.38@@1.38,?,256128.0,1048576.0,✓,✗,58.43 ± 1.92 / 61.68 ± 1.49@@58.43,66.90 ± 3.46 / 48.67 ± 2.52@@66.90,45.21 ± 2.96 / 72.35 ± 1.52@@45.21,57.80 ± 0.86 / 31.15 ± 0.89@@57.80,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.38@@1.38,24011361280.0,131072.0,8192.0,✓,✗,59.43 ± 2.96 / 65.84 ± 4.40@@59.43,69.68 ± 1.71 / 64.16 ± 2.96@@69.68,34.34 ± 4.66 / 64.21 ± 3.81@@34.34,70.38 ± 2.81 / 49.68 ± 2.70@@70.38,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400
